schema_version,system_time,operation_time,phase,event,mode,controller_mode,run_uuid,run_kind,session_id,schedule_id,subject_id,object_id,trial_id,trial_order,repetition,adaptive_impedance,adaptive_haptics,adaptive_gripper,omega_x,omega_y,omega_z,omega_valid,gripper_deg,button,target_x,target_y,target_z,robot_x,robot_y,robot_z,F_ext_x,F_ext_y,F_ext_z,T_ext_x,T_ext_y,T_ext_z,F_ext_mag,K_trans,K_rot,damping_ratio,K_fb,deadband,scale,gripper_state,gripper_cmd_width,gripper_width,gripper_width_valid,gripper_speed,gripper_force,grasp_success,vision_class,vision_label,vision_confidence,vision_locked,vision_frame_id,capture_wall_time_ns,capture_perf_time_ns,frame_enqueue_perf_time_ns,inference_start_perf_time_ns,inference_end_perf_time_ns,result_receive_perf_time_ns,vision_queue_age_ms,parameter_apply_start_perf_time_ns,parameter_apply_end_perf_time_ns,detection_to_parameter_start_ms,transition_active,transition_duration_ms,u_h_base_x,u_h_base_y,u_h_base_z,u_g_aperture_N,u_h_cmd_x,u_h_cmd_y,u_h_cmd_z,u_h_cmd_norm_N,haptic_force_limit_N,haptic_saturated,effective_force_threshold_N,fusion_delta_K,fusion_active,control_dt,control_compute_time_s,control_overrun_s,control_deadline_miss,force_baseline_mean,force_baseline_std,force_threshold
3,8.240157780999652,nan,PREP,system_start|vision_start,I_H_G,I_H_G,ff25f76f-09e0-4286-bd0f-237ad810d6f8,pilot,PILOT01_S1,MECH-D-26-00641-PILOT-v1-seed260642,PILOT01,mouse,PILOT01_T10,10,1,1,1,1,-0.000665503802407541,-0.001436737040761706,0.10456355509801504,1,-28.254955570745047,0,0.3218986506210544,0.029859258325659985,0.45753913929360385,0.3218986506210544,0.029859258325659985,0.45753913929360385,-0.4904212041244157,-0.00045013931259508394,0.8237081514485303,-0.23586019297912988,-0.5624382637131204,0.02510296953773602,0.9586491948794394,150.0,10.0,1.0,0.5,0.4,3.0,IDLE,0.08,0.07984738051891327,1,0.05,15.0,0,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.011854075724265112,0.28254955570745044,0.0,0.0,0.29440363143171555,0.29440363143171555,3.0,0,0.8,0.0,0,1.6599997252342291e-06,0.09693689499999891,0.0,0,nan,nan,nan
3,8.33738168599939,nan,PREP,,I_H_G,I_H_G,ff25f76f-09e0-4286-bd0f-237ad810d6f8,pilot,PILOT01_S1,MECH-D-26-00641-PILOT-v1-seed260642,PILOT01,mouse,PILOT01_T10,10,1,1,1,1,-6.713297925761696e-05,9.502952235363952e-05,0.10550923784938585,1,-28.254955570745047,0,0.3218986506210544,0.029859258325659985,0.45753913929360385,0.3218945726912814,0.029866448594854392,0.4575134549260473,-0.5478905393198513,0.012713787016391495,0.7093010582172767,-0.24381600047593996,-0.5667055402236656,0.025584410259559,0.8963557745921228,150.0,10.0,1.0,0.5,0.4,3.0,IDLE,0.08,0.07984738051891327,1,0.05,15.0,0,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28254955570745044,0.0,0.0,0.28254955570745044,0.28254955570745044,3.0,0,0.8,0.0,0,0.09722390499973699,0.012477597000724927,0.09222390499973698,1,nan,nan,nan
3,8.349935354999616,nan,PREP,,I_H_G,I_H_G,ff25f76f-09e0-4286-bd0f-237ad810d6f8,pilot,PILOT01_S1,MECH-D-26-00641-PILOT-v1-seed260642,PILOT01,mouse,PILOT01_T10,10,1,1,1,1,-7.399494751289537e-05,3.801258960538089e-05,0.10551292532331225,1,-28.261107313738897,0,0.3218986506210544,0.029859258325659985,0.45753913929360385,0.3218942748608931,0.029865704700893815,0.4575114279771577,-0.5919963630806125,0.02533019623666736,0.6307619505748522,-0.2517975540986275,-0.5735685321613289,0.025791869056443262,0.865425878417703,150.0,10.0,1.0,0.5,0.4,3.0,IDLE,0.08,0.07984541356563568,1,0.05,15.0,0,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.282611073137389,0.0,0.0,0.282611073137389,0.282611073137389,3.0,0,0.8,0.0,0,0.012553669000226364,0.026091206000273814,0.007553669000226364,1,nan,nan,nan
3,8.376097096999729,nan,PREP,,I_H_G,I_H_G,ff25f76f-09e0-4286-bd0f-237ad810d6f8,pilot,PILOT01_S1,MECH-D-26-00641-PILOT-v1-seed260642,PILOT01,mouse,PILOT01_T10,10,1,1,1,1,0.00018757005449929198,-7.5961660521496e-05,0.10536755922911828,1,-28.254955570745047,0,0.3218986506210544,0.029859258325659985,0.45753913929360385,0.3218945229709311,0.029867566236309488,0.4575115794334016,-0.6130545704371754,0.029906148064650792,0.577237542701444,-0.254284527141734,-0.5720328167144954,0.025083173859801158,0.8425754949735814,150.0,10.0,1.0,0.5,0.4,3.0,IDLE,0.08,0.07984541356563568,1,0.05,15.0,0,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28254955570745044,0.0,0.0,0.28254955570745044,0.28254955570745044,3.0,0,0.8,0.0,0,0.02616174200011301,0.0011841400000776048,0.021161742000113008,1,nan,nan,nan
3,8.381167896000079,nan,PREP,,I_H_G,I_H_G,ff25f76f-09e0-4286-bd0f-237ad810d6f8,pilot,PILOT01_S1,MECH-D-26-00641-PILOT-v1-seed260642,PILOT01,mouse,PILOT01_T10,10,1,1,1,1,0.00023576066566546872,-9.493839216452429e-05,0.10534164772689295,1,-28.254955570745047,0,0.3218986506210544,0.029859258325659985,0.45753913929360385,0.3218944276831238,0.02986845979023309,0.4575115704358451,-0.6527036936190413,0.03593455576534002,0.5206472019505337,-0.25800647110896624,-0.5837013301478935,0.024756813980432682,0.835695466579131,150.0,10.0,1.0,0.5,0.4,3.0,IDLE,0.08,0.07984541356563568,1,0.05,15.0,0,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28254955570745044,0.0,0.0,0.28254955570745044,0.28254955570745044,3.0,0,0.8,0.0,0,0.0050707990003502346,0.11898884599941084,7.079900035023446e-05,1,nan,nan,nan
3,8.500267538000116,nan,PREP,,I_H_G,I_H_G,ff25f76f-09e0-4286-bd0f-237ad810d6f8,pilot,PILOT01_S1,MECH-D-26-00641-PILOT-v1-seed260642,PILOT01,mouse,PILOT01_T10,10,1,1,1,1,0.0008070582727898734,-4.7386345558838105e-05,0.10503016145601045,1,-28.254955570745047,0,0.3218986506210544,0.029859258325659985,0.45753913929360385,0.32189387923033125,0.029866939748928508,0.45751116199245706,-0.6817447965938972,0.039739327647497005,0.4810649819304955,-0.260355409472367,-0.5927377298009304,0.024395170989865354,0.8353314902986223,150.0,10.0,1.0,0.5,0.4,3.0,IDLE,0.08,0.07984541356563568,1,0.05,15.0,0,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28254955570745044,0.0,0.0,0.28254955570745044,0.28254955570745044,3.0,0,0.8,0.0,0,0.11909964200003742,0.04966024599980301,0.11409964200003742,1,nan,nan,nan
3,8.550022362000163,nan,PREP,,I_H_G,I_H_G,ff25f76f-09e0-4286-bd0f-237ad810d6f8,pilot,PILOT01_S1,MECH-D-26-00641-PILOT-v1-seed260642,PILOT01,mouse,PILOT01_T10,10,1,1,1,1,0.0008416216802916987,-9.476800231879425e-06,0.10501655196419704,1,-28.254955570745047,0,0.3218986506210544,0.029859258325659985,0.45753913929360385,0.32189431125884216,0.029868073025173372,0.45751078948617463,-0.7014095127589723,0.04507130321025052,0.45391191279007426,-0.2635604074330388,-0.5996532115217857,0.024651223040499555,0.8366855750726154,150.0,10.0,1.0,0.5,0.4,3.0,IDLE,0.08,0.07984541356563568,1,0.05,15.0,0,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28254955570745044,0.0,0.0,0.28254955570745044,0.28254955570745044,3.0,0,0.8,0.0,0,0.04975482400004694,0.003335897999932058,0.04475482400004694,1,nan,nan,nan
3,8.555127622999862,nan,PREP,,I_H_G,I_H_G,ff25f76f-09e0-4286-bd0f-237ad810d6f8,pilot,PILOT01_S1,MECH-D-26-00641-PILOT-v1-seed260642,PILOT01,mouse,PILOT01_T10,10,1,1,1,1,0.0008484274959456028,-1.8952686577204267e-05,0.10501025709611495,1,-28.254955570745047,0,0.3218986506210544,0.029859258325659985,0.45753913929360385,0.3218942847089224,0.029866721444106306,0.45751220213987653,-0.7164779597881225,0.047999017966730465,0.4286361305585666,-0.26546270356952506,-0.603503746322092,0.024724290653430424,0.8362855403557696,150.0,10.0,1.0,0.5,0.4,3.0,IDLE,0.08,0.07984541356563568,1,0.05,15.0,0,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28254955570745044,0.0,0.0,0.28254955570745044,0.28254955570745044,3.0,0,0.8,0.0,0,0.0051052609996986575,0.0007737679998172098,0.00010526099969865744,1,nan,nan,nan
3,8.560220895999919,nan,PREP,,I_H_G,I_H_G,ff25f76f-09e0-4286-bd0f-237ad810d6f8,pilot,PILOT01_S1,MECH-D-26-00641-PILOT-v1-seed260642,PILOT01,mouse,PILOT01_T10,10,1,1,1,1,0.0008484274959456028,-1.8952686577204267e-05,0.10501025709611495,1,-28.254955570745047,0,0.3218986506210544,0.029859258325659985,0.45753913929360385,0.32189372572827696,0.02986662715696971,0.4575100718470344,-0.7259785015711597,0.05003877819226345,0.4014776233972687,-0.26704744722376655,-0.6026577550289818,0.024594409666126513,0.8311034509344791,150.0,10.0,1.0,0.5,0.4,3.0,IDLE,0.08,0.07984541356563568,1,0.05,15.0,0,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28254955570745044,0.0,0.0,0.28254955570745044,0.28254955570745044,3.0,0,0.8,0.0,0,0.005093273000056797,0.0009403020003446727,9.327300005679707e-05,1,nan,nan,nan
3,8.565323598999385,nan,PREP,,I_H_G,I_H_G,ff25f76f-09e0-4286-bd0f-237ad810d6f8,pilot,PILOT01_S1,MECH-D-26-00641-PILOT-v1-seed260642,PILOT01,mouse,PILOT01_T10,10,1,1,1,1,0.0008484274959456028,-1.8952686577204267e-05,0.10501025709611495,1,-28.254955570745047,0,0.3218986506210544,0.029859258325659985,0.45753913929360385,0.321894225464222,0.029865820167922098,0.4575119451560635,-0.7292566533646926,0.05432322849539109,0.38199092792413913,-0.2699606525601358,-0.59975840538427,0.025186166455134086,0.8250353620586082,150.0,10.0,1.0,0.5,0.4,3.0,IDLE,0.08,0.07984541356563568,1,0.05,15.0,0,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.28254955570745044,0.0,0.0,0.28254955570745044,0.28254955570745044,3.0,0,0.8,0.0,0,0.005102702999465691,0.0008554740006729844,0.00010270299946569129,1,nan,nan,nan
