schema_version,system_time,operation_time,phase,event,mode,controller_mode,run_uuid,run_kind,session_id,schedule_id,subject_id,object_id,trial_id,trial_order,repetition,adaptive_impedance,adaptive_haptics,adaptive_gripper,omega_x,omega_y,omega_z,omega_valid,gripper_deg,button,target_x,target_y,target_z,robot_x,robot_y,robot_z,F_ext_x,F_ext_y,F_ext_z,T_ext_x,T_ext_y,T_ext_z,F_ext_mag,K_trans,K_rot,damping_ratio,K_fb,deadband,scale,gripper_state,gripper_cmd_width,gripper_width,gripper_width_valid,gripper_speed,gripper_force,grasp_success,vision_class,vision_label,vision_confidence,vision_locked,vision_frame_id,capture_wall_time_ns,capture_perf_time_ns,frame_enqueue_perf_time_ns,inference_start_perf_time_ns,inference_end_perf_time_ns,result_receive_perf_time_ns,vision_queue_age_ms,parameter_apply_start_perf_time_ns,parameter_apply_end_perf_time_ns,detection_to_parameter_start_ms,transition_active,transition_duration_ms,u_h_base_x,u_h_base_y,u_h_base_z,u_g_aperture_N,u_h_cmd_x,u_h_cmd_y,u_h_cmd_z,u_h_cmd_norm_N,haptic_force_limit_N,haptic_saturated,effective_force_threshold_N,fusion_delta_K,fusion_active,control_dt,control_compute_time_s,control_overrun_s,control_deadline_miss,force_baseline_mean,force_baseline_std,force_threshold
3,8.239069363000453,nan,PREP,system_start|vision_start,I_G,I_G,bee17c47-73a9-494f-badc-85e8b1b1db8c,pilot,PILOT01_S1,MECH-D-26-00641-PILOT-v1-seed260642,PILOT01,cup,PILOT01_T04,4,1,1,0,1,0.0071711292616501165,-0.0029476776780850223,0.09971305610226001,1,-28.32877648667122,0,0.3274259986369368,0.029765771982656522,0.47315450410203513,0.3274259986369368,0.029765771982656522,0.47315450410203513,-0.7410944184811904,0.15549666065168613,0.5360686264899687,-0.28950941343146364,-0.6854142538036173,0.06430465666650878,0.9277767624189781,150.0,10.0,1.0,0.5,0.4,3.0,IDLE,0.08,0.07987627387046814,1,0.05,15.0,0,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2832877648667122,0.0,0.0,0.2832877648667122,0.2832877648667122,3.0,0,0.8,0.0,0,2.4210003175539896e-06,0.09711085700018884,0.0,0,nan,nan,nan
3,8.3363362099999,nan,PREP,,I_G,I_G,bee17c47-73a9-494f-badc-85e8b1b1db8c,pilot,PILOT01_S1,MECH-D-26-00641-PILOT-v1-seed260642,PILOT01,cup,PILOT01_T04,4,1,1,0,1,0.0074636561219683095,8.346961098901914e-05,0.10117904378065623,1,-28.32877648667122,0,0.3274259986369368,0.029765771982656522,0.47315450410203513,0.32742766969885073,0.029780206274532522,0.47314466257663385,-0.6433912349194556,0.18861595771478176,0.5348992835525328,-0.3025147129632385,-0.6053540733407435,0.07058978367167018,0.8576977930605041,150.0,10.0,1.0,0.5,0.4,3.0,IDLE,0.08,0.07987627387046814,1,0.05,15.0,0,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2832877648667122,0.0,0.0,0.2832877648667122,0.2832877648667122,3.0,0,0.8,0.0,0,0.09726684699944599,0.01648244700027135,0.09226684699944598,1,nan,nan,nan
3,8.352868493000642,nan,PREP,,I_G,I_G,bee17c47-73a9-494f-badc-85e8b1b1db8c,pilot,PILOT01_S1,MECH-D-26-00641-PILOT-v1-seed260642,PILOT01,cup,PILOT01_T04,4,1,1,0,1,0.007204638150284881,6.497655665639113e-05,0.10133301788703954,1,-28.32877648667122,0,0.3274259986369368,0.029765771982656522,0.47315450410203513,0.3274280772858858,0.02978093362700455,0.4731461921798341,-0.574148238360242,0.210782421391564,0.533623318282116,-0.3109776243258998,-0.5485854094397198,0.07454048769603083,0.8116829889767782,150.0,10.0,1.0,0.5,0.4,3.0,IDLE,0.08,0.07987496256828308,1,0.05,15.0,0,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2832877648667122,0.0,0.0,0.2832877648667122,0.2832877648667122,3.0,0,0.8,0.0,0,0.01653228300074261,0.01956644099936966,0.011532283000742608,1,nan,nan,nan
3,8.372501814000316,nan,PREP,,I_G,I_G,bee17c47-73a9-494f-badc-85e8b1b1db8c,pilot,PILOT01_S1,MECH-D-26-00641-PILOT-v1-seed260642,PILOT01,cup,PILOT01_T04,4,1,1,0,1,0.0071634894938523985,-4.6416345143191124e-05,0.10135301276048135,1,-28.32877648667122,0,0.3274259986369368,0.029765771982656522,0.47315450410203513,0.32742847778235024,0.029780537228200756,0.473147138800566,-0.51610878579475,0.21718995254314405,0.5331412986683102,-0.31090182423210094,-0.5026815984089543,0.07394940262250728,0.7731619484984738,150.0,10.0,1.0,0.5,0.4,3.0,IDLE,0.08,0.07987496256828308,1,0.05,15.0,0,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2832877648667122,0.0,0.0,0.2832877648667122,0.2832877648667122,3.0,0,0.8,0.0,0,0.019633320999673742,0.0007789869996486232,0.014633320999673741,1,nan,nan,nan
3,8.392852216000392,nan,PREP,,I_G,I_G,bee17c47-73a9-494f-badc-85e8b1b1db8c,pilot,PILOT01_S1,MECH-D-26-00641-PILOT-v1-seed260642,PILOT01,cup,PILOT01_T04,4,1,1,0,1,0.007138783604648341,-0.0003154625193816206,0.1012971915408311,1,-28.32877648667122,0,0.3274259986369368,0.029765771982656522,0.47315450410203513,0.3274284955175981,0.0297791635511027,0.47314666455174065,-0.47307886370001123,0.246827183499166,0.527243837838977,-0.32715824329022913,-0.46967803054825397,0.08089527734579792,0.750142209406322,150.0,10.0,1.0,0.5,0.4,3.0,IDLE,0.08,0.07987496256828308,1,0.05,15.0,0,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2832877648667122,0.0,0.0,0.2832877648667122,0.2832877648667122,3.0,0,0.8,0.0,0,0.02035040200007643,0.10338821200002712,0.015350402000076428,1,nan,nan,nan
3,8.496283896000023,nan,PREP,,I_G,I_G,bee17c47-73a9-494f-badc-85e8b1b1db8c,pilot,PILOT01_S1,MECH-D-26-00641-PILOT-v1-seed260642,PILOT01,cup,PILOT01_T04,4,1,1,0,1,0.00759238010227431,-6.488567760095398e-05,0.10108918064427572,1,-28.32877648667122,0,0.3274259986369368,0.029765771982656522,0.47315450410203513,0.32742834630165835,0.029781420622032262,0.4731457968611726,-0.44377516205745576,0.2678166312815737,0.5232619520460697,-0.3386916790136818,-0.44716465429336966,0.0858227567787345,0.7365223777382429,150.0,10.0,1.0,0.5,0.4,3.0,IDLE,0.08,0.07987496256828308,1,0.05,15.0,0,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2832877648667122,0.0,0.0,0.2832877648667122,0.2832877648667122,3.0,0,0.8,0.0,0,0.10343167999963043,0.06320683500052837,0.09843167999963043,1,nan,nan,nan
3,8.55961978600044,nan,PREP,,I_G,I_G,bee17c47-73a9-494f-badc-85e8b1b1db8c,pilot,PILOT01_S1,MECH-D-26-00641-PILOT-v1-seed260642,PILOT01,cup,PILOT01_T04,4,1,1,0,1,0.007564226173609412,-0.00012049752218316435,0.10109082709870149,1,-28.32877648667122,0,0.3274259986369368,0.029765771982656522,0.47315450410203513,0.3274281216596195,0.02978226362865768,0.4731456293286094,-0.423365935443482,0.2560243700172156,0.522109937905645,-0.32871984401174575,-0.43232920042243006,0.08107910576077915,0.7192954751675302,150.0,10.0,1.0,0.5,0.4,3.0,IDLE,0.08,0.07987496256828308,1,0.05,15.0,0,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2832877648667122,0.0,0.0,0.2832877648667122,0.2832877648667122,3.0,0,0.8,0.0,0,0.06333589000041684,0.0030036999996809755,0.05833589000041684,1,nan,nan,nan
3,8.564723428999969,nan,PREP,,I_G,I_G,bee17c47-73a9-494f-badc-85e8b1b1db8c,pilot,PILOT01_S1,MECH-D-26-00641-PILOT-v1-seed260642,PILOT01,cup,PILOT01_T04,4,1,1,0,1,0.007584639775820606,-0.00012048891190263931,0.10107822364389131,1,-28.32877648667122,0,0.3274259986369368,0.029765771982656522,0.47315450410203513,0.3274278820449164,0.029783338964587746,0.47314535069837627,-0.40962109278944675,0.24842016980885903,0.5217231963504328,-0.3221577569990774,-0.4223858186199354,0.078154472645756,0.7083058054512861,150.0,10.0,1.0,0.5,0.4,3.0,IDLE,0.08,0.07987496256828308,1,0.05,15.0,0,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2832877648667122,0.0,0.0,0.2832877648667122,0.2832877648667122,3.0,0,0.8,0.0,0,0.0051036429995292565,0.0012274480004634825,0.00010364299952925638,1,nan,nan,nan
3,8.569788388000234,nan,PREP,,I_G,I_G,bee17c47-73a9-494f-badc-85e8b1b1db8c,pilot,PILOT01_S1,MECH-D-26-00641-PILOT-v1-seed260642,PILOT01,cup,PILOT01_T04,4,1,1,0,1,0.007598248333922253,-0.00012048317015032463,0.10106981900815228,1,-28.32877648667122,0,0.3274259986369368,0.029765771982656522,0.47315450410203513,0.3274274382256665,0.029783455302064082,0.4731458949469644,-0.3984098846802828,0.24117401080184883,0.5211303675090955,-0.3163268610963122,-0.4142205163984569,0.07547541535554747,0.6989078620514806,150.0,10.0,1.0,0.5,0.4,3.0,IDLE,0.08,0.07987496256828308,1,0.05,15.0,0,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2832877648667122,0.0,0.0,0.2832877648667122,0.2832877648667122,3.0,0,0.8,0.0,0,0.005064959000264935,0.0009736990004967083,6.495900026493463e-05,1,nan,nan,nan
3,8.574852530000499,nan,PREP,,I_G,I_G,bee17c47-73a9-494f-badc-85e8b1b1db8c,pilot,PILOT01_S1,MECH-D-26-00641-PILOT-v1-seed260642,PILOT01,cup,PILOT01_T04,4,1,1,0,1,0.00761185648352064,-0.00012047742714578529,0.10106141250638535,1,-28.32877648667122,0,0.3274259986369368,0.029765771982656522,0.47315450410203513,0.3274276591785008,0.029782751748182616,0.47314516298070614,-0.3893079840545909,0.22550730172583958,0.5223436124086732,-0.30554119459467416,-0.4080834548833388,0.0696968900735161,0.6893889315941043,150.0,10.0,1.0,0.5,0.4,3.0,IDLE,0.08,0.07987496256828308,1,0.05,15.0,0,unknown,unknown,nan,0,-1,0,0,0,0,0,0,nan,0,0,nan,0,nan,0.0,0.0,0.0,0.2832877648667122,0.0,0.0,0.2832877648667122,0.2832877648667122,3.0,0,0.8,0.0,0,0.005064142000264837,0.0008555610002076719,6.41420002648373e-05,1,nan,nan,nan
