schema_version,system_time,operation_time,phase,event,mode,controller_mode,omega_x,omega_y,omega_z,omega_valid,gripper_deg,button,target_x,target_y,target_z,robot_x,robot_y,robot_z,F_ext_x,F_ext_y,F_ext_z,T_ext_x,T_ext_y,T_ext_z,F_ext_mag,K_trans,K_rot,damping_ratio,K_fb,deadband,scale,gripper_state,gripper_cmd_width,gripper_width,gripper_width_valid,gripper_speed,gripper_force,grasp_success,vision_class,vision_label,vision_confidence,vision_locked,fusion_delta_K,fusion_active,control_dt,force_adapt_target_K,force_adapt_ratio,force_adapt_active,force_adapt_delta_K,force_baseline_mean,force_baseline_std,force_threshold,actual_object,prior_condition,posterior_correction,condition_code,raw_vision_class,raw_vision_label,raw_vision_confidence,applied_prior_label,prior_K,safe_anchor_K,prior_trust,contact_risk_raw,contact_risk_ema,trust_force_guard_N,trust_target_K,trust_delta_K,trust_active,trust_config_hash
3,8.116581258999759,nan,PREP,system_start|prior_applied|vision_start,W0,trust_experiment,-0.005660112053935129,-0.008171079905770854,0.10568672647188079,1,-28.298017771701986,0,0.3203400365151415,0.030120297729732244,0.4460189592650029,0.3203477025324737,0.03013083212067112,0.4459500925285504,-1.0651238607288136,0.10230787267421661,0.5471772319208028,-0.27013097688903914,-0.8381836478448527,0.05026323955012782,1.201814737235939,200.0,13.0,1.0,0.5,0.3,3.0,IDLE,0.08,0.0798434466123581,1,0.05,15.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,2.062999556073919e-06,200.0,0.0,0,0.0,nan,nan,nan,bottle,overstiff,0,W0,unknown,unknown,nan,deliberately_overstiff,200.0,50.0,1.0,0.0,0.0,nan,200.0,0.0,0,e4e9fff51377f7b5
3,8.213992051999412,nan,PREP,,W0,trust_experiment,-0.0054016892563058805,-0.0018960388864093555,0.10761917154288085,1,-28.298017771701986,0,0.3203400365151415,0.030120297729732244,0.4460189592650029,0.32034303663906594,0.030133130328473888,0.44592241449694064,-0.9572749547209252,0.11507029273178206,0.46911914820827905,-0.2796474437403118,-0.7559966314641339,0.050199873794508854,1.072235648736316,200.0,13.0,1.0,0.5,0.3,3.0,IDLE,0.08,0.0798434466123581,1,0.05,15.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,0.0974107929996535,200.0,0.0,0,0.0,nan,nan,nan,bottle,overstiff,0,W0,unknown,unknown,nan,deliberately_overstiff,200.0,50.0,1.0,0.0,0.0,nan,200.0,0.0,0,e4e9fff51377f7b5
3,8.237456472999838,nan,PREP,,W0,trust_experiment,-0.005505916919383347,-0.00033696671888634017,0.10809045655718393,1,-28.298017771701986,0,0.3203400365151415,0.030120297729732244,0.4460189592650029,0.3203421804721768,0.03013174148622985,0.44591698052775075,-0.8769476308242957,0.126599591118056,0.4161364342583977,-0.28720210248313044,-0.6967524794527356,0.05119169028164966,0.9788943434287982,200.0,13.0,1.0,0.5,0.3,3.0,IDLE,0.08,0.07984081655740738,1,0.05,15.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,0.023464421000426228,200.0,0.0,0,0.0,nan,nan,nan,bottle,overstiff,0,W0,unknown,unknown,nan,deliberately_overstiff,200.0,50.0,1.0,0.0,0.0,nan,200.0,0.0,0,e4e9fff51377f7b5
3,8.264319279999654,nan,PREP,,W0,trust_experiment,-0.005774962674177264,-0.00022157525552983373,0.1082144610414856,1,-28.298017771701986,0,0.3203400365151415,0.030120297729732244,0.4460189592650029,0.32034246981581443,0.03013237012622722,0.44591721211533186,-0.8140422522159803,0.13548552584261114,0.38014028267965716,-0.29311233519128094,-0.6516616412065684,0.052352076290705075,0.9085855769389497,200.0,13.0,1.0,0.5,0.3,3.0,IDLE,0.08,0.07984081655740738,1,0.05,15.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,0.026862806999815803,200.0,0.0,0,0.0,nan,nan,nan,bottle,overstiff,0,W0,unknown,unknown,nan,deliberately_overstiff,200.0,50.0,1.0,0.0,0.0,nan,200.0,0.0,0,e4e9fff51377f7b5
3,8.284125538999433,nan,PREP,,W0,trust_experiment,-0.005823557308246241,-0.0003564683181224792,0.10823233743742658,1,-28.298017771701986,0,0.3203400365151415,0.030120297729732244,0.4460189592650029,0.32034211516638594,0.03013103065171755,0.4459144361640072,-0.7448564430552734,0.14675744755410342,0.3551574500207736,-0.30067028995339296,-0.6040594195945843,0.053378972257791556,0.8381441901479766,200.0,13.0,1.0,0.5,0.3,3.0,IDLE,0.08,0.07984081655740738,1,0.05,15.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,0.019806258999778947,200.0,0.0,0,0.0,nan,nan,nan,bottle,overstiff,0,W0,unknown,unknown,nan,deliberately_overstiff,200.0,50.0,1.0,0.0,0.0,nan,200.0,0.0,0,e4e9fff51377f7b5
3,8.386859761999403,nan,PREP,,W0,trust_experiment,-0.005460360833270533,-0.0021341585629054026,0.10758510616368334,1,-28.298017771701986,0,0.3203400365151415,0.030120297729732244,0.4460189592650029,0.32034211516638594,0.03013103065171755,0.4459144361640072,-0.6964263766427786,0.154647792752148,0.3376694671595551,-0.30596085828687136,-0.5707378644661953,0.05409779943475209,0.7892694767560181,200.0,13.0,1.0,0.5,0.3,3.0,IDLE,0.08,0.07984081655740738,1,0.05,15.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,0.10273422299997037,200.0,0.0,0,0.0,nan,nan,nan,bottle,overstiff,0,W0,unknown,unknown,nan,deliberately_overstiff,200.0,50.0,1.0,0.0,0.0,nan,200.0,0.0,0,e4e9fff51377f7b5
3,8.413078814999608,nan,PREP,,W0,trust_experiment,-0.00541917833483227,-0.0021434410020485205,0.10756254385167144,1,-28.298017771701986,0,0.3203400365151415,0.030120297729732244,0.4460189592650029,0.32034160925296856,0.03013045520248741,0.4459140485514408,-0.6592481064500266,0.16050699086852682,0.32346561832962106,-0.310098031297569,-0.5451247444944867,0.05361059665959035,0.751665195560483,200.0,13.0,1.0,0.5,0.3,3.0,IDLE,0.08,0.07984081655740738,1,0.05,15.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,0.02621905300020444,200.0,0.0,0,0.0,nan,nan,nan,bottle,overstiff,0,W0,unknown,unknown,nan,deliberately_overstiff,200.0,50.0,1.0,0.0,0.0,nan,200.0,0.0,0,e4e9fff51377f7b5
3,8.418166792999727,nan,PREP,,W0,trust_experiment,-0.005432503761108376,-0.0021150091944878734,0.10757709837429326,1,-28.298017771701986,0,0.3203400365151415,0.030120297729732244,0.4460189592650029,0.3203425966747938,0.03013162177129128,0.44591416952895013,-0.6349344617069996,0.16246768844060852,0.3124849207109971,-0.31154976388939204,-0.5280006390855987,0.05279678388260352,0.7260746147071595,200.0,13.0,1.0,0.5,0.3,3.0,IDLE,0.08,0.07984081655740738,1,0.05,15.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,0.0050879780001196195,200.0,0.0,0,0.0,nan,nan,nan,bottle,overstiff,0,W0,unknown,unknown,nan,deliberately_overstiff,200.0,50.0,1.0,0.0,0.0,nan,200.0,0.0,0,e4e9fff51377f7b5
3,8.423229559999527,nan,PREP,,W0,trust_experiment,-0.005445688779501745,-0.0020770650598663414,0.10759428465040172,1,-28.298017771701986,0,0.3203400365151415,0.030120297729732244,0.4460189592650029,0.3203415518967839,0.0301310182280438,0.4459142538263818,-0.6203504332712579,0.16714063949954783,0.30601591961263896,-0.314544427561345,-0.5179663344821134,0.053593313389605816,0.7116293954640466,200.0,13.0,1.0,0.5,0.3,3.0,IDLE,0.08,0.07984081655740738,1,0.05,15.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,0.005062766999799351,200.0,0.0,0,0.0,nan,nan,nan,bottle,overstiff,0,W0,unknown,unknown,nan,deliberately_overstiff,200.0,50.0,1.0,0.0,0.0,nan,200.0,0.0,0,e4e9fff51377f7b5
3,8.428372485000182,nan,PREP,,W0,trust_experiment,-0.005458741795319855,-0.002029600346758083,0.10761409956341926,1,-28.298017771701986,0,0.3203400365151415,0.030120297729732244,0.4460189592650029,0.3203422126072734,0.03013227878983822,0.4459130912110356,-0.6095621195994896,0.17016960479821241,0.3003105069282001,-0.31652579421828675,-0.5101542377562565,0.05405545344530348,0.7005070111135754,200.0,13.0,1.0,0.5,0.3,3.0,IDLE,0.08,0.07984081655740738,1,0.05,15.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,0.005142925000654941,200.0,0.0,0,0.0,nan,nan,nan,bottle,overstiff,0,W0,unknown,unknown,nan,deliberately_overstiff,200.0,50.0,1.0,0.0,0.0,nan,200.0,0.0,0,e4e9fff51377f7b5
