time,x,y,z,gripper_deg,button,K_trans,K_rot,damping_ratio,K_fb,deadband,scale
0.0012,0.035325,0.008624,0.074548,-28.31,0,200.0,10.0,1.00,0.500,0.300,3.00
0.0062,0.035294,0.008682,0.074726,-28.31,0,200.0,10.0,1.00,0.500,0.300,3.00
0.0112,0.035368,0.008744,0.074978,-28.31,0,199.8,10.0,1.00,0.500,0.300,3.00
0.0162,0.035498,0.008384,0.075244,-28.31,0,199.8,10.0,1.00,0.500,0.300,3.00
0.0215,0.035522,0.007787,0.075514,-28.31,0,199.3,10.0,1.00,0.500,0.300,3.00
0.0267,0.035363,0.007673,0.075710,-28.31,0,199.3,10.0,1.00,0.500,0.300,3.00
0.0320,0.035190,0.007713,0.075836,-28.31,0,198.4,10.0,1.00,0.500,0.300,3.00
0.0369,0.035121,0.007546,0.075939,-28.32,0,198.4,10.0,1.00,0.500,0.300,3.00
0.0420,0.035200,0.007252,0.076019,-28.31,0,197.2,10.0,1.00,0.500,0.300,3.00
0.0470,0.035314,0.006851,0.076112,-28.31,0,197.2,10.0,1.00,0.500,0.300,3.00
0.0522,0.035385,0.006461,0.076202,-28.31,0,195.8,10.0,1.00,0.500,0.300,3.00
0.0572,0.035398,0.006177,0.076283,-28.31,0,195.8,10.0,1.00,0.500,0.300,3.00
0.0622,0.035387,0.005935,0.076390,-28.31,0,194.1,10.0,1.00,0.500,0.300,3.00
0.0672,0.035418,0.005522,0.076504,-28.31,0,194.1,10.0,1.00,0.500,0.300,3.00
0.0726,0.035484,0.005107,0.076627,-28.31,0,192.2,10.0,1.00,0.500,0.300,3.00
0.0775,0.035535,0.004685,0.076745,-28.31,0,192.2,10.0,1.00,0.500,0.300,3.00
0.0825,0.035562,0.004296,0.076865,-28.31,0,190.1,10.0,1.00,0.500,0.300,3.00
0.0877,0.035571,0.003932,0.077006,-28.31,0,190.1,10.0,1.00,0.500,0.300,3.00
0.0927,0.035589,0.003551,0.077129,-28.31,0,187.8,10.0,1.00,0.500,0.300,3.00
0.0977,0.035607,0.003187,0.077257,-28.31,0,187.8,10.0,1.00,0.500,0.300,3.00
0.1030,0.035635,0.002830,0.077365,-28.31,0,185.4,10.0,1.00,0.500,0.300,3.00
0.1079,0.035670,0.002490,0.077450,-28.31,0,185.4,10.0,1.00,0.500,0.300,3.00
0.1130,0.035728,0.002174,0.077508,-28.31,0,182.9,10.0,1.00,0.500,0.300,3.00
0.1182,0.035803,0.001841,0.077552,-28.31,0,182.9,10.0,1.00,0.500,0.300,3.00
0.1232,0.035879,0.001574,0.077570,-28.31,0,180.3,10.0,1.00,0.500,0.300,3.00
0.1282,0.035950,0.001363,0.077571,-28.31,0,180.3,10.0,1.00,0.500,0.300,3.00
0.1335,0.036013,0.001193,0.077561,-28.31,0,177.7,10.0,1.00,0.500,0.300,3.00
0.1385,0.036066,0.001072,0.077543,-28.31,0,177.7,10.0,1.00,0.500,0.300,3.00
0.1435,0.036120,0.000951,0.077530,-28.31,0,175.0,10.0,1.00,0.500,0.300,3.00
0.1485,0.036184,0.000837,0.077497,-28.31,0,175.0,10.0,1.00,0.500,0.300,3.00
0.1537,0.036248,0.000757,0.077464,-28.31,0,172.3,10.0,1.00,0.500,0.300,3.00
0.1587,0.036302,0.000732,0.077415,-28.31,0,172.3,10.0,1.00,0.500,0.300,3.00
0.1637,0.036347,0.000764,0.077356,-28.31,0,169.7,10.0,1.00,0.500,0.300,3.00
0.1689,0.036395,0.000828,0.077281,-28.31,0,169.7,10.0,1.00,0.500,0.300,3.00
0.1740,0.036444,0.000908,0.077206,-28.31,0,167.1,10.0,1.00,0.500,0.300,3.00
0.1790,0.036490,0.001005,0.077122,-28.31,0,167.1,10.0,1.00,0.500,0.300,3.00
0.1842,0.036534,0.001141,0.077025,-28.31,0,164.6,10.0,1.00,0.500,0.300,3.00
0.1892,0.036576,0.001309,0.076919,-28.31,0,164.6,10.0,1.00,0.500,0.300,3.00
0.1946,0.036616,0.001494,0.076808,-28.31,0,162.2,10.0,1.00,0.500,0.300,3.00
0.1994,0.036644,0.001678,0.076709,-28.31,0,162.2,10.0,1.00,0.500,0.300,3.00
