episode_id,sequence,condition,object_name,target_class,expected_strategy,instance_id,replicate,distractor,accepted_utc,duration_s,frames_processed,primary_threshold,collection_threshold,autonomous_lock_class,autonomous_lock_strategy,autonomous_lock_confidence,autonomous_lock_latency_s,autonomous_correct_class,autonomous_correct_strategy,target_assisted_lock_found,target_assisted_lock_latency_s,target_assisted_lock_confidence,no_detection_at_primary_threshold,unknown_dangerous_mapped_lock,video_file,detections_file
CLU_BANANA_R04,64,clutter,banana,banana,soft,A,4,,2026-09-05T09:48:05.772939+00:00,10.053423,149,0.25,0.05,banana,soft,0.902633,0.244251,1,1,1,0.244251,0.902633,0,0,videos/CLU_BANANA_R04.mp4,detections/CLU_BANANA_R04.jsonl
CLU_BANANA_R02,66,clutter,banana,banana,soft,A,2,,2026-09-05T09:48:37.860521+00:00,10.053501,149,0.25,0.05,banana,soft,0.834674,0.123004,1,1,1,0.123004,0.834674,0,0,videos/CLU_BANANA_R02.mp4,detections/CLU_BANANA_R02.jsonl
CLU_BANANA_R03,67,clutter,banana,banana,soft,A,3,,2026-09-05T09:50:43.611588+00:00,10.047942,150,0.25,0.05,banana,soft,0.921717,0.125989,1,1,1,0.125989,0.921717,0,0,videos/CLU_BANANA_R03.mp4,detections/CLU_BANANA_R03.jsonl
CLU_BANANA_R01,68,clutter,banana,banana,soft,A,1,,2026-09-05T09:51:20.647190+00:00,10.057482,150,0.25,0.05,scissors,hard,0.520722,0.122939,0,0,1,0.122939,0.499076,0,0,videos/CLU_BANANA_R01.mp4,detections/CLU_BANANA_R01.jsonl
CLU_BANANA_R05,74,clutter,banana,banana,soft,A,5,,2026-09-05T09:52:12.082357+00:00,10.054386,150,0.25,0.05,banana,soft,0.896312,0.134458,1,1,1,0.134458,0.896312,0,0,videos/CLU_BANANA_R05.mp4,detections/CLU_BANANA_R05.jsonl
CLU_BOTTLE_R05,61,clutter,bottle,bottle,medium,A,5,,2026-09-05T09:52:45.503659+00:00,10.05358,149,0.25,0.05,bottle,medium,0.81319,0.106212,1,1,1,0.106212,0.81319,0,0,videos/CLU_BOTTLE_R05.mp4,detections/CLU_BOTTLE_R05.jsonl
CLU_BOTTLE_R02,63,clutter,bottle,bottle,medium,A,2,,2026-09-05T09:53:17.787935+00:00,10.047858,150,0.25,0.05,bottle,medium,0.871181,0.110382,1,1,1,0.110382,0.871181,0,0,videos/CLU_BOTTLE_R02.mp4,detections/CLU_BOTTLE_R02.jsonl
CLU_BOTTLE_R01,72,clutter,bottle,bottle,medium,A,1,,2026-09-05T09:53:47.345736+00:00,10.051438,150,0.25,0.05,bottle,medium,0.754965,0.120796,1,1,1,0.120796,0.754965,0,0,videos/CLU_BOTTLE_R01.mp4,detections/CLU_BOTTLE_R01.jsonl
CLU_BOTTLE_R04,73,clutter,bottle,bottle,medium,A,4,,2026-09-05T09:54:13.227379+00:00,10.04823,150,0.25,0.05,bottle,medium,0.81455,0.118089,1,1,1,0.118089,0.81455,0,0,videos/CLU_BOTTLE_R04.mp4,detections/CLU_BOTTLE_R04.jsonl
CLU_BOTTLE_R03,75,clutter,bottle,bottle,medium,A,3,,2026-09-05T09:54:42.519213+00:00,10.052208,150,0.25,0.05,bottle,medium,0.823333,0.107445,1,1,1,0.107445,0.823333,0,0,videos/CLU_BOTTLE_R03.mp4,detections/CLU_BOTTLE_R03.jsonl
CLU_SCISSORS_R04,62,clutter,scissors,scissors,hard,A,4,,2026-09-05T09:55:15.275684+00:00,10.051723,150,0.25,0.05,scissors,hard,0.917172,0.104853,1,1,1,0.104853,0.917172,0,0,videos/CLU_SCISSORS_R04.mp4,detections/CLU_SCISSORS_R04.jsonl
CLU_SCISSORS_R01,65,clutter,scissors,scissors,hard,A,1,,2026-09-05T09:56:02.576380+00:00,10.051539,150,0.25,0.05,scissors,hard,0.95051,0.121516,1,1,1,0.121516,0.95051,0,0,videos/CLU_SCISSORS_R01.mp4,detections/CLU_SCISSORS_R01.jsonl
CLU_SCISSORS_R03,69,clutter,scissors,scissors,hard,A,3,,2026-09-05T09:56:24.723576+00:00,10.050077,150,0.25,0.05,scissors,hard,0.956022,0.118943,1,1,1,0.118943,0.956022,0,0,videos/CLU_SCISSORS_R03.mp4,detections/CLU_SCISSORS_R03.jsonl
CLU_SCISSORS_R05,70,clutter,scissors,scissors,hard,A,5,,2026-09-05T09:56:51.210182+00:00,10.051012,150,0.25,0.05,scissors,hard,0.964621,0.122619,1,1,1,0.122619,0.964621,0,0,videos/CLU_SCISSORS_R05.mp4,detections/CLU_SCISSORS_R05.jsonl
CLU_SCISSORS_R02,71,clutter,scissors,scissors,hard,A,2,,2026-09-05T09:57:24.634596+00:00,10.051189,150,0.25,0.05,scissors,hard,0.950674,0.11452,1,1,1,0.11452,0.950674,0,0,videos/CLU_SCISSORS_R02.mp4,detections/CLU_SCISSORS_R02.jsonl
MUL_BANANA_R03,79,multiobject,banana,banana,soft,A,3,bottle,2026-09-05T09:58:45.654001+00:00,10.047381,148,0.25,0.05,banana,soft,0.905272,0.276207,1,1,1,0.276207,0.905272,0,0,videos/MUL_BANANA_R03.mp4,detections/MUL_BANANA_R03.jsonl
MUL_BANANA_R01,81,multiobject,banana,banana,soft,A,1,bottle,2026-09-05T09:59:21.348130+00:00,10.050879,150,0.25,0.05,banana,soft,0.928248,0.11663,1,1,1,0.11663,0.928248,0,0,videos/MUL_BANANA_R01.mp4,detections/MUL_BANANA_R01.jsonl
MUL_BANANA_R02,83,multiobject,banana,banana,soft,A,2,bottle,2026-09-05T09:59:59.377151+00:00,10.052053,150,0.25,0.05,banana,soft,0.906334,0.107622,1,1,1,0.107622,0.906334,0,0,videos/MUL_BANANA_R02.mp4,detections/MUL_BANANA_R02.jsonl
MUL_BANANA_R05,87,multiobject,banana,banana,soft,A,5,bottle,2026-09-05T10:00:28.072971+00:00,10.061321,150,0.25,0.05,banana,soft,0.920946,0.128996,1,1,1,0.128996,0.920946,0,0,videos/MUL_BANANA_R05.mp4,detections/MUL_BANANA_R05.jsonl
MUL_BANANA_R04,88,multiobject,banana,banana,soft,A,4,bottle,2026-09-05T10:01:00.088814+00:00,10.053982,150,0.25,0.05,banana,soft,0.876776,0.126714,1,1,1,0.126714,0.876776,0,0,videos/MUL_BANANA_R04.mp4,detections/MUL_BANANA_R04.jsonl
MUL_BOTTLE_R02,84,multiobject,bottle,bottle,medium,A,2,scissors,2026-09-05T10:02:30.153863+00:00,10.054093,150,0.25,0.05,scissors,hard,0.951012,0.119389,0,0,1,0.119389,0.74112,0,0,videos/MUL_BOTTLE_R02.mp4,detections/MUL_BOTTLE_R02.jsonl
MUL_BOTTLE_R04,86,multiobject,bottle,bottle,medium,A,4,scissors,2026-09-05T10:03:15.510414+00:00,10.044733,150,0.25,0.05,scissors,hard,0.796352,0.112944,0,0,1,0.112944,0.771611,0,0,videos/MUL_BOTTLE_R04.mp4,detections/MUL_BOTTLE_R04.jsonl
MUL_BOTTLE_R05,89,multiobject,bottle,bottle,medium,A,5,scissors,2026-09-05T10:03:51.612835+00:00,10.053386,150,0.25,0.05,scissors,hard,0.916189,0.124531,0,0,1,0.124531,0.841846,0,0,videos/MUL_BOTTLE_R05.mp4,detections/MUL_BOTTLE_R05.jsonl
MUL_BOTTLE_R01,90,multiobject,bottle,bottle,medium,A,1,scissors,2026-09-05T10:04:19.566891+00:00,10.054896,150,0.25,0.05,scissors,hard,0.931622,0.109786,0,0,1,0.109786,0.892882,0,0,videos/MUL_BOTTLE_R01.mp4,detections/MUL_BOTTLE_R01.jsonl
MUL_SCISSORS_R02,82,multiobject,scissors,scissors,hard,A,2,banana,2026-09-05T10:07:03.615863+00:00,10.051552,149,0.25,0.05,scissors,hard,0.938015,0.122672,1,1,1,0.122672,0.938015,0,0,videos/MUL_SCISSORS_R02.mp4,detections/MUL_SCISSORS_R02.jsonl
MUL_SCISSORS_R03,85,multiobject,scissors,scissors,hard,A,3,banana,2026-09-05T10:07:37.544475+00:00,10.089102,150,0.25,0.05,scissors,hard,0.92904,0.124249,1,1,1,0.124249,0.92904,0,0,videos/MUL_SCISSORS_R03.mp4,detections/MUL_SCISSORS_R03.jsonl
INS_BANANA_R05,94,new_instance,banana,banana,soft,B,5,,2026-09-05T10:09:15.532633+00:00,10.050441,149,0.25,0.05,banana,soft,0.931855,0.256363,1,1,1,0.256363,0.931855,0,0,videos/INS_BANANA_R05.mp4,detections/INS_BANANA_R05.jsonl
INS_BANANA_R02,96,new_instance,banana,banana,soft,B,2,,2026-09-05T10:09:35.880745+00:00,10.051586,150,0.25,0.05,banana,soft,0.900687,0.121309,1,1,1,0.121309,0.900687,0,0,videos/INS_BANANA_R02.mp4,detections/INS_BANANA_R02.jsonl
INS_BANANA_R03,98,new_instance,banana,banana,soft,B,3,,2026-09-05T10:09:57.640093+00:00,10.061737,150,0.25,0.05,banana,soft,0.932407,0.117823,1,1,1,0.117823,0.932407,0,0,videos/INS_BANANA_R03.mp4,detections/INS_BANANA_R03.jsonl
INS_BANANA_R04,104,new_instance,banana,banana,soft,B,4,,2026-09-05T10:10:21.916785+00:00,10.053604,150,0.25,0.05,banana,soft,0.937323,0.11578,1,1,1,0.11578,0.937323,0,0,videos/INS_BANANA_R04.mp4,detections/INS_BANANA_R04.jsonl
INS_BANANA_R01,105,new_instance,banana,banana,soft,B,1,,2026-09-05T10:10:50.004169+00:00,10.052103,150,0.25,0.05,banana,soft,0.948896,0.115907,1,1,1,0.115907,0.948896,0,0,videos/INS_BANANA_R01.mp4,detections/INS_BANANA_R01.jsonl
INS_BOTTLE_R03,92,new_instance,bottle,bottle,medium,B,3,,2026-09-05T10:13:13.582645+00:00,10.054083,150,0.25,0.05,bottle,medium,0.636163,0.116599,1,1,1,0.116599,0.636163,0,0,videos/INS_BOTTLE_R03.mp4,detections/INS_BOTTLE_R03.jsonl
INS_BOTTLE_R01,95,new_instance,bottle,bottle,medium,B,1,,2026-09-05T10:13:37.130528+00:00,10.051271,150,0.25,0.05,bottle,medium,0.872904,0.118097,1,1,1,0.118097,0.872904,0,0,videos/INS_BOTTLE_R01.mp4,detections/INS_BOTTLE_R01.jsonl
INS_BOTTLE_R02,97,new_instance,bottle,bottle,medium,B,2,,2026-09-05T10:13:58.154242+00:00,10.05803,150,0.25,0.05,bottle,medium,0.79494,0.114996,1,1,1,0.114996,0.79494,0,0,videos/INS_BOTTLE_R02.mp4,detections/INS_BOTTLE_R02.jsonl
