episode_id,sequence,condition,object_name,target_class,expected_strategy,instance_id,replicate,distractor,accepted_utc,duration_s,frames_processed,primary_threshold,collection_threshold,autonomous_lock_class,autonomous_lock_strategy,autonomous_lock_confidence,autonomous_lock_latency_s,autonomous_correct_class,autonomous_correct_strategy,target_assisted_lock_found,target_assisted_lock_latency_s,target_assisted_lock_confidence,no_detection_at_primary_threshold,unknown_dangerous_mapped_lock,video_file,detections_file
UNK_TAPE-MEASURE_R01,108,unknown,tape measure,__unknown__,unknown,A,1,,2026-09-05T10:30:20.084285+00:00,10.051056,150,0.25,0.05,orange,soft,0.714064,0.116569,,,,,,0,1,videos/UNK_TAPE-MEASURE_R01.mp4,detections/UNK_TAPE-MEASURE_R01.jsonl
UNK_TAPE-MEASURE_R03,115,unknown,tape measure,__unknown__,unknown,A,3,,2026-09-05T10:35:13.151139+00:00,10.001527,149,0.25,0.05,airplane,unknown,0.271811,0.153523,,,,,,0,0,videos/UNK_TAPE-MEASURE_R03.mp4,detections/UNK_TAPE-MEASURE_R03.jsonl
UNK_TAPE-MEASURE_R02,116,unknown,tape measure,__unknown__,unknown,A,2,,2026-09-05T10:36:23.817514+00:00,10.152582,115,0.25,0.05,toothbrush,unknown,0.438239,0.116568,,,,,,0,0,videos/UNK_TAPE-MEASURE_R02.mp4,detections/UNK_TAPE-MEASURE_R02.jsonl
NOR_SCISSORS_R03,2,normal,scissors,scissors,hard,A,3,,2026-09-05T10:43:29.347772+00:00,10.048048,148,0.25,0.05,scissors,hard,0.957593,0.267674,1,1,1,0.267674,0.957593,0,0,videos/NOR_SCISSORS_R03.mp4,detections/NOR_SCISSORS_R03.jsonl
BKL_SCISSORS_R02,31,backlight,scissors,scissors,hard,A,2,,2026-09-05T10:44:43.365957+00:00,10.051102,148,0.25,0.05,scissors,hard,0.904562,0.275068,1,1,1,0.275068,0.904562,0,0,videos/BKL_SCISSORS_R02.mp4,detections/BKL_SCISSORS_R02.jsonl
OCC_SCISSORS_R05,50,occlusion50,scissors,scissors,hard,A,5,,2026-09-05T10:45:58.643996+00:00,10.048955,149,0.25,0.05,scissors,hard,0.852475,0.251665,1,1,1,0.251665,0.852475,0,0,videos/OCC_SCISSORS_R05.mp4,detections/OCC_SCISSORS_R05.jsonl
MUL_BOTTLE_R03,80,multiobject,bottle,bottle,medium,A,3,scissors,2026-09-05T10:46:45.193465+00:00,10.062744,149,0.25,0.05,scissors,hard,0.94534,0.258612,0,0,1,0.258612,0.87992,0,0,videos/MUL_BOTTLE_R03.mp4,detections/MUL_BOTTLE_R03.jsonl
MUL_SCISSORS_R05,76,multiobject,scissors,scissors,hard,A,5,banana,2026-09-05T10:47:17.281030+00:00,10.063707,147,0.25,0.05,scissors,hard,0.955386,0.123178,1,1,1,0.123178,0.955386,0,0,videos/MUL_SCISSORS_R05.mp4,detections/MUL_SCISSORS_R05.jsonl
MUL_SCISSORS_R04,77,multiobject,scissors,scissors,hard,A,4,banana,2026-09-05T10:47:46.021878+00:00,10.012884,150,0.25,0.05,banana,soft,0.941897,0.088582,0,0,1,0.088582,0.8743,0,0,videos/MUL_SCISSORS_R04.mp4,detections/MUL_SCISSORS_R04.jsonl
MUL_SCISSORS_R01,78,multiobject,scissors,scissors,hard,A,1,banana,2026-09-05T10:48:16.179346+00:00,10.05472,150,0.25,0.05,scissors,hard,0.928631,0.121715,1,1,1,0.121715,0.928631,0,0,videos/MUL_SCISSORS_R01.mp4,detections/MUL_SCISSORS_R01.jsonl
