run_uuid,subject_id,session_id,object_id,trial_id,trial_order,repetition,condition,adaptive_haptics,adaptive_gripper,success,completion_time_s,penalized_time_s,approach_time_s,grasp_time_s,transport_time_s,release_time_s,force_peak_N,force_mean_N,deadline_miss_count,haptic_saturation_count,vision_queue_age_ms,vision_detection_count,vision_false_trigger_count,vision_false_trigger_rate,vision_no_lock,detection_to_contact_s,parameter_start_to_contact_s,source_summary,approach_force_peak_N,approach_force_rms_N,grasp_force_peak_N,grasp_force_rms_N,transport_force_peak_N,transport_force_rms_N,release_force_peak_N,release_force_rms_N,control_dt_median_ms,control_dt_p95_ms,control_dt_p99_ms,control_dt_max_ms,vision_queue_age_median_ms,vision_queue_age_p95_ms,deadline_miss_rate,haptic_saturation_rate
0bd5b17c-cdc8-45de-9f8b-11b206682cae,P01,P01_S1,apple,P01_T01,1,1,I,0,0,1,15.830563207000068,15.830563207000068,7.315494725999997,0.9632689120001032,6.153837801999998,1.3979617669999698,7.833,2.981,155,0,78.53854,226,90,0.39823008849557523,0,2.0182332760000463,1.880198683999879,F:\sun\sunhan\消融实验数据\P01\P01_S1\G01_apple\R1\I_0bd5b17c-cdc8-45de-9f8b-11b206682cae_summary.json,3.36348394366,2.069504878578663,2.9327540562352654,2.6728064915388003,7.833373902258823,5.19946623493661,3.748778512345788,3.3031204839363775,5.071642499956397,22.26369235008861,78.03295915008455,182.82666599998265,133.660324,170.030473,0.06357670221493027,0.0
aefd74ae-5aa5-44a1-ae1e-33aa29a76ca6,P01,P01_S1,apple,P01_T04,4,1,I_G,0,1,1,14.232458927999915,14.232458927999915,5.138476040000114,0.9000032109997846,6.978933323000092,1.2150463539999237,8.039,3.558,144,0,67.41629,211,90,0.4265402843601896,0,1.072500638999827,0.9940654339998218,F:\sun\sunhan\消融实验数据\P01\P01_S1\G01_apple\R1\I_G_aefd74ae-5aa5-44a1-ae1e-33aa29a76ca6_summary.json,4.502345405109118,2.8904022855761506,3.4877954736194208,3.396661871682683,8.038614881357507,5.491541791753016,4.212783407091615,3.7335939252306605,5.072745500001474,19.126441300011265,78.61444575006779,105.55363399998896,133.752602,173.59294475,0.06611570247933884,0.0
8817f819-2a5f-4b2a-b869-92496e026c4f,P01,P01_S1,apple,P01_T02,2,1,I_H,1,0,1,16.724963075000005,16.724963075000005,8.182300252999994,0.9409638509998786,6.384607232999997,1.2170917380001356,7.736,3.056,172,0,85.815438,248,153,0.6169354838709677,0,2.645379020999826,2.5269900900000266,F:\sun\sunhan\消融实验数据\P01\P01_S1\G01_apple\R1\I_H_8817f819-2a5f-4b2a-b869-92496e026c4f_summary.json,7.589377555075678,2.5678363808458706,5.55221338112344,4.425460840960925,7.736224568433445,5.006857561636959,4.003418341506722,3.6167969138196874,5.071989000043686,19.653738999977577,71.1429808000499,105.23959600004673,133.640639,174.450939,0.06664083688492832,0.0
804e59dc-471f-4066-aacb-ff1302c176e0,P01,P01_S1,apple,P01_T03,3,1,I_H_G,1,1,1,13.59634606099985,13.59634606099985,6.507257942000024,1.0033978639999077,4.854676069999869,1.231014185000049,7.913,2.957,140,0,139.55145,211,102,0.4834123222748815,0,1.559390398000005,1.4919129679999514,F:\sun\sunhan\消融实验数据\P01\P01_S1\G01_apple\R1\I_H_G_804e59dc-471f-4066-aacb-ff1302c176e0_summary.json,5.0319146762150115,2.307400597186103,4.169099529669185,3.0317655889640247,7.913203615988447,5.259757842289535,4.259161429405612,3.6668770303943363,5.071951999980229,16.303660399989734,73.18860364005539,103.63003499992374,133.693513,167.491808,0.062360801781737196,0.0
150b88ab-00a6-457a-9439-9f5c5a681843,P01,P01_S1,apple,P01_T08,8,2,I,0,0,1,16.808889591000025,16.808889591000025,8.236706122999976,0.9485829160000776,6.368363205999913,1.255237346000058,7.516,2.671,164,0,199.363145,238,71,0.29831932773109243,0,2.142278273999864,2.073334059999979,F:\sun\sunhan\消融实验数据\P01\P01_S1\G01_apple\R2\I_150b88ab-00a6-457a-9439-9f5c5a681843_summary.json,2.5387860498795476,1.8542834324261288,2.4685283603699397,2.2190127566998252,7.515537575110411,4.975452875101662,3.3968625367834697,2.821213687524326,5.071130000033008,18.814764799935794,78.38247883993974,104.9512549998326,133.723701,176.738387,0.06383806928766057,0.0
ba12d161-2f6b-484d-8ecd-3bac81ece8b2,P01,P01_S1,apple,P01_T05,5,2,I_G,0,1,1,14.737188809999907,14.737188809999907,6.95325428000001,1.1448667950000981,5.4178956419998485,1.22117209299995,8.195,3.145,147,0,194.984699,222,94,0.42342342342342343,0,1.6261581530000058,1.5561602400000538,F:\sun\sunhan\消融实验数据\P01\P01_S1\G01_apple\R2\I_G_ba12d161-2f6b-484d-8ecd-3bac81ece8b2_summary.json,4.395155169491305,2.626593849808541,4.279084751010785,3.745883254182932,8.195066667465744,5.4086103883386,3.8474776859058215,3.4020725690456963,5.071370999985447,17.450032100009576,76.64278073993945,102.99502599991683,133.737399,172.8430115,0.06284737067122702,0.0
7c7aad88-2544-456e-8c30-57c55d080994,P01,P01_S1,apple,P01_T07,7,2,I_H,1,0,1,14.540689737999855,14.540689737999855,7.668360554999936,0.9837052459999995,4.684468987999935,1.2041549489999852,7.74,2.819,149,0,134.041559,221,88,0.39819004524886875,0,2.3469564900001387,2.278441939000004,F:\sun\sunhan\消融实验数据\P01\P01_S1\G01_apple\R2\I_H_7c7aad88-2544-456e-8c30-57c55d080994_summary.json,4.073021789252525,2.498984306472804,3.866763522329157,3.2119843837239244,7.740192309975624,5.114510492226176,3.667162386014805,2.9333354487921177,5.070878499964238,17.805246999898827,73.49350514998608,114.07476499994118,133.727107,184.96091,0.06378424657534247,0.0
0b64d358-4d2b-4351-b973-3df849fdbedb,P01,P01_S1,apple,P01_T06,6,2,I_H_G,1,1,1,14.143126119000044,14.143126119000044,6.232757572000082,0.928069252999876,5.704075218000071,1.278224076000015,8.076,3.131,147,0,133.629048,208,44,0.21153846153846154,0,1.026013077000016,0.9707935000001271,F:\sun\sunhan\消融实验数据\P01\P01_S1\G01_apple\R2\I_H_G_0b64d358-4d2b-4351-b973-3df849fdbedb_summary.json,3.3754270029928537,2.4518552388747894,3.6466145473366627,3.2984631555230646,8.076391096942835,5.0844136237474755,3.32687866197126,3.043993884171534,5.071868999948492,18.319471249981234,77.52372689989234,126.10110900004656,133.687226,176.6682984499997,0.06544968833481746,0.0
50be8393-1af1-4a2b-970b-7d719e89fb21,P01,P01_S1,cup,P01_T11,11,1,I,0,0,1,17.88034250199962,17.88034250199962,6.304309091999585,1.476941449000151,8.279210076000254,1.8198818849996314,6.606,3.061,169,0,121.966872,82,13,0.15853658536585366,0,0.7879656049999539,0.7867717680001078,F:\sun\sunhan\消融实验数据\P01\P01_S1\G02_cup\R1\I_50be8393-1af1-4a2b-970b-7d719e89fb21_summary.json,4.878765371807803,2.539062024438431,3.727763978026692,2.4796973788538383,6.606019711352492,4.250984254373798,5.185803734524973,3.56265494837998,5.070104499964145,13.34072735019157,68.1098467998254,101.97756300021865,534.54027,534.54027,0.058639833448993754,0.0
d3c5235b-cafd-4727-97ba-b8e44d0d5e7d,P01,P01_S1,cup,P01_T10,10,1,I_G,0,1,1,16.3136362500004,16.3136362500004,7.327647191000324,1.528259179000088,5.5510734649997175,1.9066564150002705,6.66,3.042,148,0,66.793855,103,54,0.5242718446601942,0,0.6505451509997329,0.6480299770000784,F:\sun\sunhan\消融实验数据\P01\P01_S1\G02_cup\R1\I_G_d3c5235b-cafd-4727-97ba-b8e44d0d5e7d_summary.json,4.841207949648971,3.016732188738421,6.586941824282183,3.3054754261906227,6.660379584106033,4.216382016799817,5.190079253166913,3.3607138185718317,5.071487999884994,14.052292399810497,71.5994870800932,131.0717169999407,84.622603,167.64632,0.05716492854383932,0.0
a090b042-6240-40fc-b603-fc16b44a91a7,P01,P01_S1,cup,P01_T09,9,1,I_H,1,0,1,16.47376105300009,16.47376105300009,5.703677884000172,1.5074798779996854,7.573833646000367,1.6887696449998657,7.138,3.311,153,0,135.40745,94,24,0.2553191489361702,0,1.8334803230000034,1.830258990999937,F:\sun\sunhan\消融实验数据\P01\P01_S1\G02_cup\R1\I_H_a090b042-6240-40fc-b603-fc16b44a91a7_summary.json,4.900860674923554,2.5006351759327745,5.502161181764649,4.621152034076659,7.1376704113018725,4.675507448394314,3.828084827857545,3.4584226746618874,5.071068000233936,18.882700000176555,80.73907450011575,114.71481899980063,133.681886,152.416996,0.05997647981183849,0.0
