subject_id,condition,penalized_time_s,success_rate
P01,I,16.282419251583292,1.0
P01,I_G,16.154467295583306,1.0
P01,I_H,15.8571613107502,1.0
P01,I_H_G,15.095518002583333,1.0
P02,I,17.296145476749984,1.0
P02,I_G,15.755383173333266,1.0
P02,I_H,14.97223232091676,1.0
P02,I_H_G,14.610203299083357,1.0
P03,I,18.139680797666717,1.0
P03,I_G,16.252847707333405,1.0
P03,I_H,16.00448767808325,1.0
P03,I_H_G,15.123407291666808,1.0
P04,I,17.889400023500002,1.0
P04,I_G,15.741707944833555,1.0
P04,I_H,15.410913199749908,1.0
P04,I_H_G,15.08839099775029,1.0
P05,I,17.10997157091727,1.0
P05,I_G,15.593815262082899,1.0
P05,I_H,15.427475326750331,1.0
P05,I_H_G,14.81029499833312,1.0
P06,I,16.132462016168574,1.0
P06,I_G,15.432528562911708,1.0
P06,I_H,14.62667733840984,1.0
P06,I_H_G,13.630438148082854,1.0
P07,I,16.4186999402494,1.0
P07,I_G,15.019074112999078,1.0
P07,I_H,14.870861896083321,1.0
P07,I_H_G,14.422380879159997,1.0
P08,I,14.921566872081408,1.0
P08,I_G,14.262486267415321,1.0
P08,I_H,14.483022490504178,1.0
P08,I_H_G,13.889646103751147,1.0
PILOT01,I,41.19084760549981,0.75
PILOT01,I_G,16.271387800666464,1.0
PILOT01,I_H,15.082102996999916,1.0
PILOT01,I_H_G,15.786664464333322,1.0
PILOT02,I,16.356118135000543,1.0
PILOT02,I_G,49.7324874616667,0.6666666666666666
PILOT02,I_H,15.811025092499676,1.0
PILOT02,I_H_G,13.879704665249847,1.0
