condition,n_trials,n_participants,penalized_time_mean_s,penalized_time_sd_s,success_rate
I,104,10,17.69684629181732,10.2953313785169,0.9903846153846154
I_G,105,10,17.502445829427714,14.48471095079712,0.9809523809523809
I_H,103,10,15.226450369863805,1.663636814714495,1.0
I_H_G,103,10,14.591477366009032,1.9885838274362353,1.0
