schema_version,system_time,operation_time,phase,event,mode,controller_mode,omega_x,omega_y,omega_z,omega_valid,gripper_deg,button,target_x,target_y,target_z,robot_x,robot_y,robot_z,F_ext_x,F_ext_y,F_ext_z,T_ext_x,T_ext_y,T_ext_z,F_ext_mag,K_trans,K_rot,damping_ratio,K_fb,deadband,scale,gripper_state,gripper_cmd_width,gripper_width,gripper_width_valid,gripper_speed,gripper_force,grasp_success,vision_class,vision_label,vision_confidence,vision_locked,fusion_delta_K,fusion_active,control_dt,timing_profile_version,prev_omega_io_s,prev_panda_state_s,prev_haptic_send_s,prev_impedance_update_s,prev_panda_command_s,prev_gripper_update_s,prev_record_s,prev_keyboard_status_s,prev_loop_work_s,prev_sleep_requested_s,prev_sleep_actual_s,force_adapt_target_K,force_adapt_ratio,force_adapt_active,force_adapt_delta_K,force_baseline_mean,force_baseline_std,force_threshold,actual_object,prior_condition,posterior_correction,condition_code,raw_vision_class,raw_vision_label,raw_vision_confidence,applied_prior_label,prior_K,safe_anchor_K,prior_trust,contact_risk_raw,contact_risk_ema,trust_force_guard_N,trust_target_K,trust_delta_K,trust_active,trust_config_hash
3,8.218620214000111,nan,PREP,system_start|prior_applied|vision_start,W0,trust_experiment,0.009322304165363365,0.0051526496366374845,0.09804911778355709,1,-28.298017771701986,0,0.32023297875472,0.027132434427434536,0.4465253599721201,0.32022692190472485,0.027140070975188897,0.44643858989355245,-1.0827947292016626,-0.004246246211512863,0.36175325307809825,-0.22399918303185182,-0.8163715506508582,0.0387618674347674,1.141633860879388,200.0,13.0,1.0,0.5,0.3,3.0,IDLE,0.08,0.07983490824699402,1,0.05,15.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,2.4649998522363603e-06,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200.0,0.0,0,0.0,nan,nan,nan,bottle,overstiff,0,W0,unknown,unknown,nan,deliberately_overstiff,200.0,50.0,1.0,0.0,0.0,nan,200.0,0.0,0,849612984eae337a
3,8.233744409000792,nan,PREP,,W0,trust_experiment,0.009451996242162336,0.004431019777691046,0.09840484638671614,1,-28.298017771701986,0,0.32023297875472,0.027132434427434536,0.4465253599721201,0.3202231847963216,0.027139261877349597,0.44642673646913505,-1.0762810375669127,0.003090190238073568,0.3404027855195551,-0.22905431076642102,-0.8101148725043662,0.04064049666859547,1.128833237237144,200.0,13.0,1.0,0.5,0.3,3.0,IDLE,0.08,0.07983490824699402,1,0.05,15.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,0.01512419500068063,1,0.0002918430000136141,5.2324001444503665e-05,0.0003264579972892534,5.295998562360182e-06,2.5074001314351335e-05,0.00010184200073126704,7.81720009399578e-05,0.00033571599851711653,0.001988084000913659,0.003011915999086341,0.013124526998581132,200.0,0.0,0,0.0,nan,nan,nan,bottle,overstiff,0,W0,unknown,unknown,nan,deliberately_overstiff,200.0,50.0,1.0,0.0,0.0,nan,200.0,0.0,0,849612984eae337a
3,8.239785206998931,nan,PREP,,W0,trust_experiment,0.009424772352472577,0.004179286041214874,0.0985046048901608,1,-28.298017771701986,0,0.32023297875472,0.027132434427434536,0.4465253599721201,0.32022298818696504,0.02713827674603741,0.44642780827042655,-1.07323900729329,0.007789475073711981,0.3240691555936621,-0.23231332377266886,-0.8065506052099255,0.04186758559899563,1.1211259787842756,200.0,13.0,1.0,0.5,0.3,3.0,IDLE,0.08,0.07983490824699402,1,0.05,15.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,0.006040797998139169,1,0.004986202002328355,5.566499748965725e-05,0.0007740219989500474,3.0719966161996126e-06,1.1598000128287822e-05,4.130015440750867e-07,3.943499905290082e-05,1.901000359794125e-06,0.006038572999386815,0.0,0.0,200.0,0.0,0,0.0,nan,nan,nan,bottle,overstiff,0,W0,unknown,unknown,nan,deliberately_overstiff,200.0,50.0,1.0,0.0,0.0,nan,200.0,0.0,0,849612984eae337a
3,8.259878502998617,nan,PREP,,W0,trust_experiment,0.009554448206995803,0.003255937438123287,0.09868991766439464,1,-28.298017771701986,0,0.32023297875472,0.027132434427434536,0.4465253599721201,0.32021492860392703,0.02713979195119568,0.44640594403955164,-1.01797790034416,0.016008737106106834,0.32961612232364756,-0.23980608791864025,-0.7787569116841073,0.04184412326477458,1.0701318018583108,200.0,13.0,1.0,0.5,0.3,3.0,IDLE,0.08,0.07983359694480896,1,0.05,15.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,0.020093295999686234,1,2.224799754912965e-05,2.2574000468011945e-05,0.0002854310005204752,1.9889994291588664e-06,6.6450011217966676e-06,2.9099828680045903e-07,2.4277000193251297e-05,1.448002876713872e-06,0.0004587940020428505,0.00454120599795715,0.019625256998551777,200.0,0.0,0,0.0,nan,nan,nan,bottle,overstiff,0,W0,unknown,unknown,nan,deliberately_overstiff,200.0,50.0,1.0,0.0,0.0,nan,200.0,0.0,0,849612984eae337a
3,8.371847758000513,nan,PREP,,W0,trust_experiment,0.011621380576005563,-3.64852667358336e-05,0.09832376775929079,1,-28.298017771701986,0,0.32023297875472,0.027132434427434536,0.4465253599721201,0.32021492860392703,0.02713979195119568,0.44640594403955164,-0.979295125479769,0.02176222052878323,0.3334989990346374,-0.24505102282082022,-0.7593013262160344,0.04182769963081985,1.0347531683391382,200.0,13.0,1.0,0.5,0.3,3.0,IDLE,0.08,0.07983359694480896,1,0.05,15.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,0.11196925500189536,1,0.11130766600035713,4.251000063959509e-05,0.0003999090004072059,3.4149998100474477e-06,1.2363001587800682e-05,2.724899968598038e-05,3.2029998692451045e-05,3.7280005926731974e-06,0.11196788300003391,0.0,0.0,200.0,0.0,0,0.0,nan,nan,nan,bottle,overstiff,0,W0,unknown,unknown,nan,deliberately_overstiff,200.0,50.0,1.0,0.0,0.0,nan,200.0,0.0,0,849612984eae337a
3,8.37699291700119,nan,PREP,,W0,trust_experiment,0.01163326445301413,3.647797217539396e-05,0.09829465244502349,1,-28.298017771701986,0,0.32023297875472,0.027132434427434536,0.4465253599721201,0.3202137427219174,0.027138654896095217,0.4464043256682,-0.9432511044502419,0.024701282398970285,0.33803094401173217,-0.24794322513942402,-0.7402149202195524,0.041505977868440014,1.002296222934227,200.0,13.0,1.0,0.5,0.3,3.0,IDLE,0.08,0.07983359694480896,1,0.05,15.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,0.005145159000676358,1,2.3066997528076172e-05,1.5528999938396737e-05,0.00027552000028663315,9.799987310543656e-07,7.319998985622078e-06,2.228700031992048e-05,1.8241997167933732e-05,2.191001840401441e-06,0.00043346699749235995,0.00456653300250764,0.00468334600009257,200.0,0.0,0,0.0,nan,nan,nan,bottle,overstiff,0,W0,unknown,unknown,nan,deliberately_overstiff,200.0,50.0,1.0,0.0,0.0,nan,200.0,0.0,0,849612984eae337a
3,8.382067558999552,nan,PREP,,W0,trust_experiment,0.011664671490305922,0.0001367470179517196,0.09824451059285104,1,-28.298017771701986,0,0.32023297875472,0.027132434427434536,0.4465253599721201,0.32021313377850774,0.027138212253077464,0.44640332255255777,-0.9204000312359599,0.0272452769962614,0.3460944059957044,-0.25015183881196323,-0.7298112377072308,0.041696368498094896,0.9836970369373278,200.0,13.0,1.0,0.5,0.3,3.0,IDLE,0.08,0.07983359694480896,1,0.05,15.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,0.005074641998362495,1,0.0005726080016756896,0.00012279599832254462,0.00021909199858782813,4.385001375339925e-06,1.3638000382343307e-05,3.839995770249516e-07,9.30479982343968e-05,2.329001290490851e-06,0.0026629329986462835,0.0023370670013537166,0.0024047209990385454,200.0,0.0,0,0.0,nan,nan,nan,bottle,overstiff,0,W0,unknown,unknown,nan,deliberately_overstiff,200.0,50.0,1.0,0.0,0.0,nan,200.0,0.0,0,849612984eae337a
3,8.387161539998488,nan,PREP,,W0,trust_experiment,0.011709228459344911,0.000246046042862191,0.09818283846414814,1,-28.298017771701986,0,0.32023297875472,0.027132434427434536,0.4465253599721201,0.32021445726005826,0.027137565370330328,0.4464050835331717,-0.9028226631404996,0.030461913909559775,0.353252434257683,-0.2526536985823953,-0.7219178823673083,0.04235923277457476,0.9699504995555784,200.0,13.0,1.0,0.5,0.3,3.0,IDLE,0.08,0.07983359694480896,1,0.05,15.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,0.005093980998935876,1,0.0004175909998593852,6.704300176352262e-05,0.0002459540010022465,3.07300069835037e-06,9.643998055253178e-06,2.3699976736679673e-07,3.504299820633605e-05,1.6539997886866331e-06,0.0009312239999417216,0.0040687760000582785,0.004155696999077918,200.0,0.0,0,0.0,nan,nan,nan,bottle,overstiff,0,W0,unknown,unknown,nan,deliberately_overstiff,200.0,50.0,1.0,0.0,0.0,nan,200.0,0.0,0,849612984eae337a
3,8.392231557998457,nan,PREP,,W0,trust_experiment,0.011767790506700182,0.0003279319236923555,0.09811972281328285,1,-28.298017771701986,0,0.32023297875472,0.027132434427434536,0.4465253599721201,0.3202140653963335,0.02713959728117796,0.44640498573481857,-0.888056539385254,0.03201273058361656,0.36080177540567554,-0.25391871323338955,-0.7155001545665438,0.04253841333531475,0.9590866244506906,200.0,13.0,1.0,0.5,0.3,3.0,IDLE,0.08,0.07983359694480896,1,0.05,15.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,0.005070017999969423,1,0.00030207499730749987,3.959400055464357e-05,0.00031105399830266833,2.0029983716085553e-06,9.22100298339501e-06,3.0099909054115415e-07,3.92319998354651e-05,1.4690012903884053e-06,0.0008322579997184221,0.004167742000281578,0.004231057002471061,200.0,0.0,0,0.0,nan,nan,nan,bottle,overstiff,0,W0,unknown,unknown,nan,deliberately_overstiff,200.0,50.0,1.0,0.0,0.0,nan,200.0,0.0,0,849612984eae337a
3,8.397297224000795,nan,PREP,,W0,trust_experiment,0.011841077966261687,0.00035514117122188667,0.09806274157054373,1,-28.298017771701986,0,0.32023297875472,0.027132434427434536,0.4465253599721201,0.3202135082330429,0.027138108349389956,0.44640330757193286,-0.8736832598997588,0.02915138221223541,0.36631129318252686,-0.25256539467710143,-0.7084385406291653,0.041204496475784724,0.9478165461876092,200.0,13.0,1.0,0.5,0.3,3.0,IDLE,0.08,0.07983359694480896,1,0.05,15.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,0.005065666002337821,1,0.00021768400256405585,3.7867001083213836e-05,0.00032170600024983287,2.181997842853889e-06,8.171999070327729e-06,3.210006980225444e-07,3.5102999390801415e-05,1.5639998309779912e-06,0.0007830220019968692,0.004216977998003131,0.0042776199989020824,200.0,0.0,0,0.0,nan,nan,nan,bottle,overstiff,0,W0,unknown,unknown,nan,deliberately_overstiff,200.0,50.0,1.0,0.0,0.0,nan,200.0,0.0,0,849612984eae337a
