schema_version,system_time,operation_time,phase,event,mode,controller_mode,omega_x,omega_y,omega_z,omega_valid,gripper_deg,button,target_x,target_y,target_z,robot_x,robot_y,robot_z,F_ext_x,F_ext_y,F_ext_z,T_ext_x,T_ext_y,T_ext_z,F_ext_mag,K_trans,K_rot,damping_ratio,K_fb,deadband,scale,gripper_state,gripper_cmd_width,gripper_width,gripper_width_valid,gripper_speed,gripper_force,grasp_success,vision_class,vision_label,vision_confidence,vision_locked,fusion_delta_K,fusion_active,control_dt,timing_profile_version,prev_omega_io_s,prev_panda_state_s,prev_haptic_send_s,prev_impedance_update_s,prev_panda_command_s,prev_gripper_update_s,prev_record_s,prev_keyboard_status_s,prev_loop_work_s,prev_sleep_requested_s,prev_sleep_actual_s,diagnostic_disable_gripper_read,diagnostic_disable_vision,diagnostic_no_vision_display,force_adapt_target_K,force_adapt_ratio,force_adapt_active,force_adapt_delta_K,force_baseline_mean,force_baseline_std,force_threshold,actual_object,prior_condition,posterior_correction,condition_code,raw_vision_class,raw_vision_label,raw_vision_confidence,applied_prior_label,prior_K,safe_anchor_K,prior_trust,contact_risk_raw,contact_risk_ema,trust_force_guard_N,trust_target_K,trust_delta_K,trust_active,trust_config_hash
3,8.20357066100405,nan,PREP,system_start|prior_applied|vision_start,W1,trust_experiment,-0.004698664072437658,-7.598424911735037e-05,0.10673965247334226,1,-28.322624743677377,0,0.32094857259049375,0.027628115135454896,0.44747456432797067,0.32095810058636515,0.02763583584224661,0.4474445405235105,-0.3996713879593255,0.04485363600453533,0.797416870740912,-0.21500354380887712,-0.4444961304704111,0.014721580914495588,0.8930972694832234,200.0,13.0,1.0,0.5,0.3,3.0,IDLE,0.08,0.07989729195833206,1,0.05,15.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,2.373999450355768e-06,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,200.0,0.0,0,0.0,nan,nan,nan,mouse,overstiff,1,W1,unknown,unknown,nan,deliberately_overstiff,200.0,50.0,1.0,0.0,0.0,nan,200.0,0.0,0,849612984eae337a
3,8.216519741996308,nan,PREP,,W1,trust_experiment,-0.0044798888513503665,9.554641020552538e-06,0.10718173178278606,1,-28.322624743677377,0,0.32094857259049375,0.027628115135454896,0.44747456432797067,0.32095260475087356,0.027633384478928328,0.44742788019354424,-0.424136733521411,0.045414693016809414,0.8345221226315825,-0.2141460870074271,-0.47426586430590045,0.01568303693350068,0.9372201642226577,200.0,13.0,1.0,0.5,0.3,3.0,IDLE,0.08,0.07989729195833206,1,0.05,15.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,0.012949080992257223,1,0.0009261469967896119,6.201199721544981e-05,0.00042857800144702196,3.4919939935207367e-06,1.0638992534950376e-05,2.8915994334965944e-05,3.4204000257886946e-05,8.699200407136232e-05,0.0024106069904519245,0.0025893930095480756,0.010530073996051215,0,0,0,200.0,0.0,0,0.0,nan,nan,nan,mouse,overstiff,1,W1,unknown,unknown,nan,deliberately_overstiff,200.0,50.0,1.0,0.0,0.0,nan,200.0,0.0,0,849612984eae337a
3,8.22262622899143,nan,PREP,,W1,trust_experiment,-0.00428349533868172,-8.640318796321215e-05,0.10752675472496473,1,-28.322624743677377,0,0.32094857259049375,0.027628115135454896,0.44747456432797067,0.32095104364083205,0.027634140089582492,0.44742677779742046,-0.44122812641199993,0.045389504138492354,0.8562672353453993,-0.21335870501460563,-0.49430434017681557,0.016238527824838173,0.9643319163799544,200.0,13.0,1.0,0.5,0.3,3.0,IDLE,0.08,0.07989729195833206,1,0.05,15.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,0.0061064869951223955,1,0.005106708995299414,5.14819985255599e-05,0.0007320869917748496,3.2819953048601747e-06,1.0241987183690071e-05,3.6899291444569826e-07,3.952700353693217e-05,1.968001015484333e-06,0.006104549000156112,0.0,0.0,0,0,0,200.0,0.0,0,0.0,nan,nan,nan,mouse,overstiff,1,W1,unknown,unknown,nan,deliberately_overstiff,200.0,50.0,1.0,0.0,0.0,nan,200.0,0.0,0,849612984eae337a
3,8.242482572997687,nan,PREP,,W1,trust_experiment,-0.004118246087119054,-0.00021101613056577142,0.10740633692722884,1,-28.322624743677377,0,0.32094857259049375,0.027628115135454896,0.44747456432797067,0.32094267839726903,0.0276321421762934,0.447283073203579,-0.43585984081498874,0.040236044405671814,0.7476156983117138,-0.21546082592876414,-0.47958559110320154,0.01420570092963257,0.8663267123128514,200.0,13.0,1.0,0.5,0.3,3.0,IDLE,0.08,0.07989663630723953,1,0.05,15.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,0.01985634400625713,1,2.0056002540513873e-05,2.247501106467098e-05,0.00012476900883484632,1.8540013115853071e-06,5.993002559989691e-06,2.8300564736127853e-07,2.3344997316598892e-05,1.1389929568395019e-06,0.00028810401272494346,0.004711895987275057,0.019559413005481474,0,0,0,200.0,0.0,0,0.0,nan,nan,nan,mouse,overstiff,1,W1,unknown,unknown,nan,deliberately_overstiff,200.0,50.0,1.0,0.0,0.0,nan,200.0,0.0,0,849612984eae337a
3,8.410905518991058,nan,PREP,,W1,trust_experiment,-0.0034420294896219394,-0.00030643037240229434,0.1070852625643251,1,-28.322624743677377,0,0.32094857259049375,0.027628115135454896,0.44747456432797067,0.3209430836657745,0.027632478384466305,0.44728354566168393,-0.4340097027893418,0.03677591617958618,0.6721386371384928,-0.21699288064252875,-0.4706980358589144,0.012884549712040694,0.8009289841556061,200.0,13.0,1.0,0.5,0.3,3.0,IDLE,0.08,0.07989663630723953,1,0.05,15.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,0.16842294599337038,1,0.16767418901144993,4.62649913970381e-05,0.0004700419958680868,3.563996870070696e-06,1.0989999282173812e-05,3.647200355771929e-05,3.462299355305731e-05,3.74599767383188e-06,0.16842115999315865,0.0,0.0,0,0,0,200.0,0.0,0,0.0,nan,nan,nan,mouse,overstiff,1,W1,unknown,unknown,nan,deliberately_overstiff,200.0,50.0,1.0,0.0,0.0,nan,200.0,0.0,0,849612984eae337a
3,8.416006601997651,nan,PREP,,W1,trust_experiment,-0.0034282301762194323,-0.0003064188881060495,0.10707834946342464,1,-28.322624743677377,0,0.32094857259049375,0.027628115135454896,0.44747456432797067,0.32094252853253913,0.027633117160263072,0.4472832604916447,-0.4355392922128226,0.03900708894487545,0.6203230345777271,-0.22092248402608883,-0.46663154035140586,0.01352438062209049,0.758957637340135,200.0,13.0,1.0,0.5,0.3,3.0,IDLE,0.08,0.07989663630723953,1,0.05,15.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,0.005101083006593399,1,3.617099719122052e-05,1.7422004020772874e-05,0.00045081699499860406,1.4870020095258951e-06,7.636990630999207e-06,2.165400655940175e-05,1.8786988221108913e-05,2.2769963834434748e-06,0.0006473360117524862,0.004352663988247514,0.004433594003785402,0,0,0,200.0,0.0,0,0.0,nan,nan,nan,mouse,overstiff,1,W1,unknown,unknown,nan,deliberately_overstiff,200.0,50.0,1.0,0.0,0.0,nan,200.0,0.0,0,849612984eae337a
3,8.42108048099908,nan,PREP,,W1,trust_experiment,-0.0034144309546620955,-0.0003064074007933611,0.10707143453098576,1,-28.322624743677377,0,0.32094857259049375,0.027628115135454896,0.44747456432797067,0.3209418659078811,0.027631868952106894,0.4472836931443926,-0.4384735769445852,0.03897649930904887,0.5817515776377258,-0.22289127187353555,-0.4643029616905887,0.013221416869805921,0.7295293984898417,200.0,13.0,1.0,0.5,0.3,3.0,IDLE,0.08,0.07989663630723953,1,0.05,15.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,0.0050738790014293045,1,0.0004781220050062984,9.641700307838619e-05,0.00028024900529999286,6.223999662324786e-06,1.2492993846535683e-05,3.2399839255958796e-07,6.646799738518894e-05,1.6609992599114776e-06,0.002232427999842912,0.002767572000157088,0.0028330640052445233,0,0,0,200.0,0.0,0,0.0,nan,nan,nan,mouse,overstiff,1,W1,unknown,unknown,nan,deliberately_overstiff,200.0,50.0,1.0,0.0,0.0,nan,200.0,0.0,0,849612984eae337a
3,8.426150293991668,nan,PREP,,W1,trust_experiment,-0.003400631825328515,-0.00030639591046405256,0.10706451776692869,1,-28.322624743677377,0,0.32094857259049375,0.027628115135454896,0.44747456432797067,0.32094304691809594,0.02763232561725005,0.4472838141705564,-0.44443624056860465,0.04033643939786059,0.5559617501228558,-0.22507960569884577,-0.46560794737136046,0.01329546402072441,0.7129123844300368,200.0,13.0,1.0,0.5,0.3,3.0,IDLE,0.08,0.07989663630723953,1,0.05,15.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,0.005069812992587686,1,0.0003313890047138557,6.325299909804016e-05,0.00021632399875670671,6.180998752824962e-06,1.0825999197550118e-05,4.309986252337694e-07,6.459098949562758e-05,2.0769948605448008e-06,0.0008941179985413328,0.004105882001458667,0.004171252003288828,0,0,0,200.0,0.0,0,0.0,nan,nan,nan,mouse,overstiff,1,W1,unknown,unknown,nan,deliberately_overstiff,200.0,50.0,1.0,0.0,0.0,nan,200.0,0.0,0,849612984eae337a
3,8.449626446003094,nan,PREP,,W1,trust_experiment,-0.0033178883126150083,-0.0003158900107298509,0.10702040013339122,1,-28.322624743677377,0,0.32094857259049375,0.027628115135454896,0.44747456432797067,0.32094172217052874,0.027631328709058614,0.4472815792341577,-0.47364098141311795,0.041949914858947904,0.5352551392732605,-0.22736956990686996,-0.482407959632332,0.013580738054471082,0.7159564503160035,200.0,13.0,1.0,0.5,0.3,3.0,IDLE,0.08,0.07989400625228882,1,0.05,15.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,0.023476152011426166,1,0.0002355920005356893,3.718100197147578e-05,0.0003370469930814579,4.596993676386774e-06,7.063004886731505e-06,2.860033418983221e-07,3.7429999792948365e-05,1.3060052879154682e-06,0.0007694920059293509,0.004230507994070649,0.022696261992678046,0,0,0,200.0,0.0,0,0.0,nan,nan,nan,mouse,overstiff,1,W1,unknown,unknown,nan,deliberately_overstiff,200.0,50.0,1.0,0.0,0.0,nan,200.0,0.0,0,849612984eae337a
3,8.454738846994587,nan,PREP,,W1,trust_experiment,-0.0033040900036909737,-0.0003158781430474145,0.10701347059057961,1,-28.322624743677377,0,0.32094857259049375,0.027628115135454896,0.44747456432797067,0.3209429114354473,0.027632096072335563,0.44728168512895666,-0.5129269977126433,0.044220530197050543,0.5281897463114846,-0.22950280729291472,-0.5087451372846579,0.014655535152820497,0.7375865836510346,200.0,13.0,1.0,0.5,0.3,3.0,IDLE,0.08,0.07989400625228882,1,0.05,15.0,0,unknown,deliberately_overstiff,nan,1,0.0,0,0.005112400991492905,1,0.00027839301037602127,4.566900315694511e-05,0.0002512339997338131,5.633992259390652e-06,9.961004252545536e-06,4.715300747193396e-05,5.262700142338872e-05,8.047994924709201e-06,0.0008748969994485378,0.004125103000551462,0.004231083003105596,0,0,0,200.0,0.0,0,0.0,nan,nan,nan,mouse,overstiff,1,W1,unknown,unknown,nan,deliberately_overstiff,200.0,50.0,1.0,0.0,0.0,nan,200.0,0.0,0,849612984eae337a
