schema_version,system_time,operation_time,phase,event,mode,controller_mode,omega_x,omega_y,omega_z,omega_valid,gripper_deg,button,target_x,target_y,target_z,robot_x,robot_y,robot_z,F_ext_x,F_ext_y,F_ext_z,T_ext_x,T_ext_y,T_ext_z,F_ext_mag,K_trans,K_rot,damping_ratio,K_fb,deadband,scale,gripper_state,gripper_cmd_width,gripper_width,gripper_width_valid,gripper_speed,gripper_force,grasp_success,vision_class,vision_label,vision_confidence,vision_locked,fusion_delta_K,fusion_active,control_dt,timing_profile_version,prev_omega_io_s,prev_panda_state_s,prev_haptic_send_s,prev_impedance_update_s,prev_panda_command_s,prev_gripper_update_s,prev_record_s,prev_keyboard_status_s,prev_loop_work_s,prev_sleep_requested_s,prev_sleep_actual_s,diagnostic_disable_gripper_read,diagnostic_disable_vision,diagnostic_no_vision_display,force_adapt_target_K,force_adapt_ratio,force_adapt_active,force_adapt_delta_K,force_baseline_mean,force_baseline_std,force_threshold,actual_object,prior_condition,posterior_correction,condition_code,raw_vision_class,raw_vision_label,raw_vision_confidence,applied_prior_label,prior_K,safe_anchor_K,prior_trust,contact_risk_raw,contact_risk_ema,trust_force_guard_N,trust_target_K,trust_delta_K,trust_active,trust_config_hash,t_mono_ns,trial_id,masked_condition,protocol_phase,intervention_state,K_fb_commanded,K_fb_transition_reason,contact_candidate,contact_confirmed,force_baseline_median_N,force_baseline_sigma_N,force_threshold_on_N,force_threshold_off_N,force_corrected_N,haptic_cmd_x,haptic_cmd_y,haptic_cmd_z,haptic_cmd_norm,haptic_send_ok,haptic_clamped,target_speed_limited,safety_abort,kfb_config_sha256,acquisition_software_sha256
4,1.1693807500014373,nan,PREP,system_start,KFB_TIMING,kfb_timing,-0.0013014108259465917,-0.00827252078644541,0.1036114451280431,1,-28.2488038277512,0,0.31246231981575306,-0.0031690282325292597,0.45406695625331966,0.31246231981575306,-0.0031690282325292597,0.45406695625331966,-0.38424306527547114,0.4051519875776524,0.5262407452041062,-0.39275977778825155,-0.41934893568344905,0.17723126325377425,0.7672810359727297,200.0,13.0,1.2,0.5,0.3,3.0,IDLE,0.08,nan,0,0.05,20.0,0,unknown,unknown,nan,0,0.0,0,1.556999995955266e-05,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,200.0,0.0,0,0.0,nan,nan,nan,,,,,unknown,unknown,nan,,nan,,1.0,0.0,0.0,nan,nan,0.0,0,,476763,F03_M02_01,MBCD29EA,measured,baseline,0.5,,0,0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1,0,0,0,ad4b715165e84dd399d377549dc111fb1309cda1260e23e9ee621d07fad63984,6ba3dffa4798388fb8057a608cfa40a0e24aeba9257d245b2d5103a1844d1115
4,1.1744919830016443,nan,PREP,,KFB_TIMING,kfb_timing,-0.001241585180783683,-0.008132807747494232,0.10370030971200572,1,-28.2488038277512,0,0.31246231981575306,-0.0031690282325292597,0.45406695625331966,0.31246261634211925,-0.0031669642627119247,0.45406647683065093,-0.3943896792109238,0.40405294369192546,0.5316068416858277,-0.39212522385032483,-0.42770823020754845,0.17726185262075211,0.7755048900563982,200.0,13.0,1.2,0.5,0.3,3.0,IDLE,0.08,nan,0,0.05,20.0,0,unknown,unknown,nan,0,0.0,0,0.005111233000206994,1,0.00019910399714717641,1.5090998203959316e-05,0.00011826599802589044,2.863002009689808e-06,1.5154997527133673e-05,1.7300044419243932e-07,3.754100180231035e-05,3.253199975006282e-05,0.0005311540007824078,0.004468845999217592,0.004564900998957455,0,0,0,200.0,0.0,0,0.0,nan,nan,nan,,,,,unknown,unknown,nan,,nan,,1.0,0.0,0.0,nan,nan,0.0,0,,6009928,F03_M02_01,MBCD29EA,measured,baseline,0.5,,0,0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1,0,0,0,ad4b715165e84dd399d377549dc111fb1309cda1260e23e9ee621d07fad63984,6ba3dffa4798388fb8057a608cfa40a0e24aeba9257d245b2d5103a1844d1115
4,1.1795837899990147,nan,PREP,,KFB_TIMING,kfb_timing,-0.001084415125963134,-0.007755667285126529,0.10382274851197999,1,-28.2488038277512,0,0.31246231981575306,-0.0031690282325292597,0.45406695625331966,0.3124611515120068,-0.0031686790557365974,0.4540621136626696,-0.40582585870522314,0.4028478484226974,0.5404211541976425,-0.39165477035764706,-0.43789852048432465,0.17716061056578117,0.786788434381785,200.0,13.0,1.2,0.5,0.3,3.0,IDLE,0.08,nan,0,0.05,20.0,0,unknown,unknown,nan,0,0.0,0,0.0050918069973704405,1,0.00034120500276912935,3.399900015210733e-05,0.00042936599857057445,1.3349999790079892e-06,4.6499990276061e-06,1.2400050763972104e-07,2.364000101806596e-05,8.409988367930055e-07,0.0009078179973585065,0.0040921820026414936,0.00417639599982067,0,0,0,200.0,0.0,0,0.0,nan,nan,nan,,,,,unknown,unknown,nan,,nan,,1.0,0.0,0.0,nan,nan,0.0,0,,10997205,F03_M02_01,MBCD29EA,measured,baseline,0.5,,0,0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1,0,0,0,ad4b715165e84dd399d377549dc111fb1309cda1260e23e9ee621d07fad63984,6ba3dffa4798388fb8057a608cfa40a0e24aeba9257d245b2d5103a1844d1115
4,1.1847259370006213,nan,PREP,,KFB_TIMING,kfb_timing,-0.0009353415002543719,-0.00746445409264497,0.10386883200344568,1,-28.2488038277512,0,0.31246231981575306,-0.0031690282325292597,0.45406695625331966,0.3124589361012469,-0.00316802189814544,0.45405413258501026,-0.4290091967357603,0.402951585278968,0.5345939943221788,-0.3920247886782813,-0.45206505775983546,0.17730880729251242,0.7951160982699554,200.0,13.0,1.2,0.5,0.3,3.0,IDLE,0.08,nan,0,0.05,20.0,0,unknown,unknown,nan,0,0.0,0,0.005142147001606645,1,0.00024072099768090993,4.328299837652594e-05,0.00041016200339072384,1.9470026018097997e-06,5.461999535327777e-06,1.5700061339884996e-07,2.8021997422911227e-05,1.2230011634528637e-06,0.0008082450003712438,0.004191754999628756,0.0043298929995216895,0,0,0,200.0,0.0,0,0.0,nan,nan,nan,,,,,unknown,unknown,nan,,nan,,1.0,0.0,0.0,nan,nan,0.0,0,,16250800,F03_M02_01,MBCD29EA,measured,baseline,0.5,,0,0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1,0,0,0,ad4b715165e84dd399d377549dc111fb1309cda1260e23e9ee621d07fad63984,6ba3dffa4798388fb8057a608cfa40a0e24aeba9257d245b2d5103a1844d1115
4,1.1898878540014266,nan,PREP,,KFB_TIMING,kfb_timing,-0.0008793704421450055,-0.007315866030719068,0.1038608614080399,1,-28.2488038277512,0,0.31246231981575306,-0.0031690282325292597,0.45406695625331966,0.31245738883273355,-0.003168794040288787,0.45405253876082463,-0.46505843430414096,0.40168845612081955,0.5169856923141322,-0.39155064127564193,-0.4714895626687999,0.1768362688365775,0.8030611241715472,200.0,13.0,1.2,0.5,0.3,3.0,IDLE,0.08,nan,0,0.05,20.0,0,unknown,unknown,nan,0,0.0,0,0.005161917000805261,1,0.00037738999890279956,2.7309997676638886e-05,0.00039943999945535325,1.353000698145479e-06,5.2489995141513646e-06,1.579974195919931e-07,2.696799856494181e-05,1.2179989425931126e-06,0.0009185939998133108,0.004081406000186689,0.0042408219997014385,0,0,0,200.0,0.0,0,0.0,nan,nan,nan,,,,,unknown,unknown,nan,,nan,,1.0,0.0,0.0,nan,nan,0.0,0,,20938980,F03_M02_01,MBCD29EA,measured,baseline,0.5,,0,0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1,0,0,0,ad4b715165e84dd399d377549dc111fb1309cda1260e23e9ee621d07fad63984,6ba3dffa4798388fb8057a608cfa40a0e24aeba9257d245b2d5103a1844d1115
4,1.194992094002373,nan,PREP,,KFB_TIMING,kfb_timing,-0.000835926251643776,-0.007139353147127201,0.10385767769273141,1,-28.2488038277512,0,0.31246231981575306,-0.0031690282325292597,0.45406695625331966,0.3124567990318064,-0.00316607405237927,0.45404366229168946,-0.5029007248169152,0.40122496425878457,0.49943945121936706,-0.3916140697282001,-0.4918272755694941,0.17664930605301302,0.8144509662343977,200.0,13.0,1.2,0.5,0.3,3.0,IDLE,0.08,nan,0,0.05,20.0,0,unknown,unknown,nan,0,0.0,0,0.005104240000946447,1,0.00017255200145882554,1.6943999071372673e-05,0.00017135199959739111,9.329996828455478e-07,4.379999154480174e-06,1.3500175555236638e-07,2.123899685102515e-05,8.869974408298731e-07,0.0004389419991639443,0.004561058000836056,0.0046573939980589785,0,0,0,200.0,0.0,0,0.0,nan,nan,nan,,,,,unknown,unknown,nan,,nan,,1.0,0.0,0.0,nan,nan,0.0,0,,26586971,F03_M02_01,MBCD29EA,measured,baseline,0.5,,0,0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1,0,0,0,ad4b715165e84dd399d377549dc111fb1309cda1260e23e9ee621d07fad63984,6ba3dffa4798388fb8057a608cfa40a0e24aeba9257d245b2d5103a1844d1115
4,1.200055165001686,nan,PREP,,KFB_TIMING,kfb_timing,-0.0007542954508172606,-0.00692009441487873,0.10389778944164935,1,-28.2488038277512,0,0.31246231981575306,-0.0031690282325292597,0.45406695625331966,0.31245568185247574,-0.003166759707125438,0.45404250413738506,-0.5327079712102143,0.37295660327842733,0.4893522593401644,-0.37350049931551343,-0.5080406668087435,0.16836615320898357,0.8138427638316926,200.0,13.0,1.2,0.5,0.3,3.0,IDLE,0.08,nan,0,0.05,20.0,0,unknown,unknown,nan,0,0.0,0,0.005063070999312913,1,0.0003631330000644084,3.361599738127552e-05,0.0004505120014073327,2.5289991754107177e-06,7.350998203037307e-06,1.7099955584853888e-07,3.7398000131361187e-05,1.3780008885078132e-06,0.000998695999442134,0.004001304000557866,0.004061315998114878,0,0,0,200.0,0.0,0,0.0,nan,nan,nan,,,,,unknown,unknown,nan,,nan,,1.0,0.0,0.0,nan,nan,0.0,0,,31189673,F03_M02_01,MBCD29EA,measured,baseline,0.5,,0,0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1,0,0,0,ad4b715165e84dd399d377549dc111fb1309cda1260e23e9ee621d07fad63984,6ba3dffa4798388fb8057a608cfa40a0e24aeba9257d245b2d5103a1844d1115
4,1.2052121240012639,nan,PREP,,KFB_TIMING,kfb_timing,-0.0006895616220924383,-0.006637625209350273,0.10397827813905028,1,-28.2488038277512,0,0.31246231981575306,-0.0031690282325292597,0.45406695625331966,0.31245544001195574,-0.003168089371519899,0.45404021544319784,-0.541824004400309,0.3649719499830263,0.4985563125226541,-0.36892660256992627,-0.5151472790807726,0.16664029259616076,0.821788399026772,200.0,13.0,1.2,0.5,0.3,3.0,IDLE,0.08,nan,0,0.05,20.0,0,unknown,unknown,nan,0,0.0,0,0.00515695899957791,1,0.0002568889976828359,1.8583999917609617e-05,0.0001656380009080749,1.181997504318133e-06,4.325000190874562e-06,1.410007826052606e-07,3.42739986081142e-05,1.0119983926415443e-06,0.0005355190005502664,0.004464480999449734,0.0046175069983291905,0,0,0,200.0,0.0,0,0.0,nan,nan,nan,,,,,unknown,unknown,nan,,nan,,1.0,0.0,0.0,nan,nan,0.0,0,,36451535,F03_M02_01,MBCD29EA,measured,baseline,0.5,,0,0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1,0,0,0,ad4b715165e84dd399d377549dc111fb1309cda1260e23e9ee621d07fad63984,6ba3dffa4798388fb8057a608cfa40a0e24aeba9257d245b2d5103a1844d1115
4,1.2103768769993621,nan,PREP,,KFB_TIMING,kfb_timing,-0.0006474175738356014,-0.006372148970959991,0.10404803636624078,1,-28.2488038277512,0,0.31246231981575306,-0.0031690282325292597,0.45406695625331966,0.3124551584955762,-0.003168094068724853,0.4540420897180155,-0.5341643308861499,0.371387922538593,0.5137188866925604,-0.3738440299142862,-0.5123744992754234,0.16939253338350496,0.8289557382292638,200.0,13.0,1.2,0.5,0.3,3.0,IDLE,0.08,nan,0,0.05,20.0,0,unknown,unknown,nan,0,0.0,0,0.005164752998098265,1,0.0003813219991570804,2.1550000383285806e-05,0.0001238510012626648,1.448999682907015e-06,5.461999535327777e-06,1.7500133253633976e-07,3.6528999771689996e-05,3.616001777118072e-06,0.0006449969987443183,0.004355003001255682,0.00451556799816899,0,0,0,200.0,0.0,0,0.0,nan,nan,nan,,,,,unknown,unknown,nan,,nan,,1.0,0.0,0.0,nan,nan,0.0,0,,41432120,F03_M02_01,MBCD29EA,measured,baseline,0.5,,0,0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1,0,0,0,ad4b715165e84dd399d377549dc111fb1309cda1260e23e9ee621d07fad63984,6ba3dffa4798388fb8057a608cfa40a0e24aeba9257d245b2d5103a1844d1115
4,1.2155476200023259,nan,PREP,,KFB_TIMING,kfb_timing,-0.0006484681053343377,-0.006123837567953077,0.10411283812859976,1,-28.2488038277512,0,0.31246231981575306,-0.0031690282325292597,0.45406695625331966,0.3124559650499015,-0.003168733757974446,0.45403991056033716,-0.5158237448082057,0.3843268150111862,0.515041107753105,-0.3829016968403719,-0.498494133124596,0.1742700267189395,0.8240440395513755,200.0,13.0,1.2,0.5,0.3,3.0,IDLE,0.08,nan,0,0.05,20.0,0,unknown,unknown,nan,0,0.0,0,0.005170743002963718,1,0.00017191600272781216,1.4846002159174532e-05,0.00017775499873096123,9.739997040014714e-07,4.432000423548743e-06,1.5200203051790595e-07,2.211700120824389e-05,9.360010153613985e-07,0.0004439809999894351,0.004556019000010565,0.004723072997876443,0,0,0,200.0,0.0,0,0.0,nan,nan,nan,,,,,unknown,unknown,nan,,nan,,1.0,0.0,0.0,nan,nan,0.0,0,,46760080,F03_M02_01,MBCD29EA,measured,baseline,0.5,,0,0,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1,0,0,0,ad4b715165e84dd399d377549dc111fb1309cda1260e23e9ee621d07fad63984,6ba3dffa4798388fb8057a608cfa40a0e24aeba9257d245b2d5103a1844d1115
